suite,filename,traffic,injection_rate,seed,sha256
registered,uniform_inj_0.005_seed_0.cfg,uniform,0.005,0,0efa06066fa9c9ecce11641e1e90c0bf979020a3e630f36240f52dfd83ae90a5
registered,uniform_inj_0.005_seed_1.cfg,uniform,0.005,1,5ff272ee3d5b7f7d02ec9cb5cab13814a5c90b11ea038c6991a1634305f57e98
registered,uniform_inj_0.005_seed_2.cfg,uniform,0.005,2,369b7846e689ed259375cec23aa7378d1c8e86ff09e4ec3e2bf85ed6e4a95b03
registered,uniform_inj_0.005_seed_3.cfg,uniform,0.005,3,3b25686815316a820b9507079640e91ee3a5aa762c86a9e3b788a66fbcd1e623
registered,uniform_inj_0.005_seed_4.cfg,uniform,0.005,4,5756a1e36015ed06dcdfeece248bb46ccc820cf5c9af60f469072045b9e066c9
registered,uniform_inj_0.005_seed_5.cfg,uniform,0.005,5,f3d78c55b806ac6150fc72256fa76772e8b7b2a86c55a6334ec8a44d32d5b15f
registered,uniform_inj_0.005_seed_6.cfg,uniform,0.005,6,119ff0a81d6118dc6d1da388ac473997d24b2a20e1fabbdf34b13bf9773ea0dc
registered,uniform_inj_0.005_seed_7.cfg,uniform,0.005,7,e6f92f3bd82d48f9d829d6fbe170f484d4b91bac8d356fac3402ff475d3c41ee
registered,uniform_inj_0.005_seed_8.cfg,uniform,0.005,8,bb0fef150d097a3e421a957e275b06516f8cc5f8bb995998289bb7e4b47154b6
registered,uniform_inj_0.005_seed_9.cfg,uniform,0.005,9,6e4860921a63de96ef23ce7668deadd405ecd891af0fdc44fbd102a4c8caaad3
registered,uniform_inj_0.010_seed_0.cfg,uniform,0.010,0,79a4d37ecf8f9ee01624679484ea00f38b5ea76f38e80e38997871a1e6b6dba2
registered,uniform_inj_0.010_seed_1.cfg,uniform,0.010,1,13de2843c9a0f9e8e7490113f022def61101431887e642f5137b1671fbf0c460
registered,uniform_inj_0.010_seed_2.cfg,uniform,0.010,2,e196b267d3af5b6c42ec53473e2fd260e86c45902b00072c1c6ffedbfe2d2bb0
registered,uniform_inj_0.010_seed_3.cfg,uniform,0.010,3,8fae833addb510a4e7477aa43e9253a986a0c6d55878dbd731389f4af2d272a3
registered,uniform_inj_0.010_seed_4.cfg,uniform,0.010,4,bbfeb5329eeb8fddd886e9ae6edb93c2cb92d1b92d150c4febc6961490b5edf7
registered,uniform_inj_0.010_seed_5.cfg,uniform,0.010,5,b201594d7a20d47d97a5f94e232d591bce8f993a83e2fa139ded6fc345779e71
registered,uniform_inj_0.010_seed_6.cfg,uniform,0.010,6,9bd4b4b780165a53d2c6d636b34ff11e40a2feafa93ed4fbcb724c3900c57ca7
registered,uniform_inj_0.010_seed_7.cfg,uniform,0.010,7,cbb74113b7d43001d0ff04c86754a9c92cb3dae7f13e567a075dcb40091d4b97
registered,uniform_inj_0.010_seed_8.cfg,uniform,0.010,8,2d09b22975aec64c6af20660ab15d9c6fefb8863fbf1162742e89a21536e1b9a
registered,uniform_inj_0.010_seed_9.cfg,uniform,0.010,9,c19e012e688a323bd56a334d000d5414c94b5918bb332e9617d0dc944d766abc
registered,uniform_inj_0.020_seed_0.cfg,uniform,0.020,0,7e9b5ebcd75ebab3bd08d5b7843eb622b2f1b05cd4ee48eec9112b1bb81b2ba7
registered,uniform_inj_0.020_seed_1.cfg,uniform,0.020,1,07dfdd48411be9961ea0432ff30b77e7a44de3d52055400df0bb0a39bfc0e070
registered,uniform_inj_0.020_seed_2.cfg,uniform,0.020,2,3f2aeca34c392d29c79e2af9619d720420114da9c4253efb1c1a44188591fc56
registered,uniform_inj_0.020_seed_3.cfg,uniform,0.020,3,a0efdeaf9d2766edb0dd3bea36c7ce090c8f6a7f37dbd0edf34d4e7e55f48cb7
registered,uniform_inj_0.020_seed_4.cfg,uniform,0.020,4,14a54ffcdcfdbc9039d3ec5b737cda5e160db48de06584eccc3858ba31a82d3a
registered,uniform_inj_0.020_seed_5.cfg,uniform,0.020,5,d75f283c9c913a6471d0eb6f2ae11fef7978b0a20ff9be90aa35d1b56afcb921
registered,uniform_inj_0.020_seed_6.cfg,uniform,0.020,6,2ab34534dde270b748fce219cf4b9fa7000405cd6b8e846f5c1910bc26fab7ae
registered,uniform_inj_0.020_seed_7.cfg,uniform,0.020,7,f038fa4ed3c070f746fbb9de34732938761f8810a3a900e5562e53179c1b3a22
registered,uniform_inj_0.020_seed_8.cfg,uniform,0.020,8,69d2bc1ed2de36879e02a9781e59d6fbfee9cbd38dae57a89b2eaa7f6f484d42
registered,uniform_inj_0.020_seed_9.cfg,uniform,0.020,9,92723824d9e71c9091da665c46608b6ae84860c5db1c0ce27fa21be54e427ca6
registered,uniform_inj_0.040_seed_0.cfg,uniform,0.040,0,db72738af2e1a3a5b8da4147ec8ee819d1675bc7d54885b731927cf282edefcc
registered,uniform_inj_0.040_seed_1.cfg,uniform,0.040,1,b12ee2d55edff0b4c34cf1781e3186c05aab2874989950822858cf5afd67c06b
registered,uniform_inj_0.040_seed_2.cfg,uniform,0.040,2,2e99b9a53e16daf4be680d901b15c263e2e13d707ab8aba1deaeba3becb5a0bd
registered,uniform_inj_0.040_seed_3.cfg,uniform,0.040,3,4bffc9c321993225a68d1cb8b4c2dad8c7b93f9cc3e0292f03725b4bc9db315e
registered,uniform_inj_0.040_seed_4.cfg,uniform,0.040,4,d167a8870c7c6168f84c3550a960361392e95963e82de53488a5197fa4df79f7
registered,uniform_inj_0.040_seed_5.cfg,uniform,0.040,5,7304ba960da92c06ee670c5cff31448025286f0d8034868fc7c0498948ffc744
registered,uniform_inj_0.040_seed_6.cfg,uniform,0.040,6,55d47b7ea9e88ec3f7d4e68ca0ee5027310a208898c5576767cc569ac355ed99
registered,uniform_inj_0.040_seed_7.cfg,uniform,0.040,7,07d3177f539558e305ecaf64094a6a0ac57406acf357c1578d3b4ee27fcdb147
registered,uniform_inj_0.040_seed_8.cfg,uniform,0.040,8,f853561b4013bab0ab1903e27096be336d08bf247523bdea867dc50c381e8eb5
registered,uniform_inj_0.040_seed_9.cfg,uniform,0.040,9,a9d2704755101903b1e9c3dde93e68a37aa9e7f61e935c4b9d856674ccb71651
registered,uniform_inj_0.060_seed_0.cfg,uniform,0.060,0,a38c82b20b47021c23d0a897d9343cfd2cea1b291e10506eca036a290064b1e8
registered,uniform_inj_0.060_seed_1.cfg,uniform,0.060,1,bb3b8cce7aca7fe5e9d1207b46cf241e399b6c88eef30ae7d98407bc9f633479
registered,uniform_inj_0.060_seed_2.cfg,uniform,0.060,2,eb5cb60847d035baab57bf59d7d3461fcb7baab6c82eeed35e81f9437be7a2fa
registered,uniform_inj_0.060_seed_3.cfg,uniform,0.060,3,947a29669e3a694fb87d3c1723ffcfbdbbb45846011b729747abb1ca972f6de2
registered,uniform_inj_0.060_seed_4.cfg,uniform,0.060,4,6ff581b3a30b570d39d4a803c68ab8e66e4fae47ef9f1ae3347fecefcb849b4e
registered,uniform_inj_0.060_seed_5.cfg,uniform,0.060,5,d589e295a300cc95509a92345889afa6032745ccae4ff038d90a1b2b590e4eac
registered,uniform_inj_0.060_seed_6.cfg,uniform,0.060,6,e1ac22c7bb3b404cd51bf87b35de9a7d12ab564e6735a1889b84be3c0bc63b16
registered,uniform_inj_0.060_seed_7.cfg,uniform,0.060,7,27f9ca9faeaed40e981a4e81295576f95028eb11e66c82ea512689d51ec08a8e
registered,uniform_inj_0.060_seed_8.cfg,uniform,0.060,8,fb10df82d48c8e64c49dfce66c302ab59ea5c15601b0e7528d7a82d8c7efa7d0
