tool,case_id,seed,trace_sha256,input_trace_hash_identical,repeat_0_delivery_hash,repeat_1_delivery_hash,delivery_trace_hash_identical,repeat_0_metrics_hash,repeat_1_metrics_hash,metrics_hash_identical,repeat_exact
BookSim2,conv1,40,565694a7c3e374f195a2bf8e845f7f55d423ae331a11d8f6b4126b5a4123723f,True,9a6fc074e9d56b2d0cf5c0c05912e46449d807672b5df74abbfd0b8a9a8045b7,9a6fc074e9d56b2d0cf5c0c05912e46449d807672b5df74abbfd0b8a9a8045b7,True,0da1899e2f418297734e76808068815594b6a0ce623795923365bf22e4d6be08,0da1899e2f418297734e76808068815594b6a0ce623795923365bf22e4d6be08,True,True
BookSim2,conv2,40,58ddd0650d9302d4f09f02f4745492b87a042aedc330c8c3f482177f1a53ef2c,True,e324dce06d2d1cdf0f887332010ae644272bb5da044cf8126a9e7567e5987714,e324dce06d2d1cdf0f887332010ae644272bb5da044cf8126a9e7567e5987714,True,851b108fe9296657db5ba30c15f7e36ad96b7b842108d0c58e6b3beaa4480db7,851b108fe9296657db5ba30c15f7e36ad96b7b842108d0c58e6b3beaa4480db7,True,True
BookSim2,fc1,40,ceb882f04d373e9c8a032be13e9ab9929c1305f3037c223797334947a67b94af,True,96d5145fe6268f215c92f65c8cbb0986cb10dc4a331667ed7893d71addf5aa24,96d5145fe6268f215c92f65c8cbb0986cb10dc4a331667ed7893d71addf5aa24,True,8f71e7fd41b3589ff55868d6095383f1f889f26339f41ca2c7c482838ab73003,8f71e7fd41b3589ff55868d6095383f1f889f26339f41ca2c7c482838ab73003,True,True
BookSim2,fc2,40,c98d40d44ed997d5f49c1470553e4adf923c20f1f2cedaeea412ff012cdcaefb,True,b2f8b12d742acf2e71c204dc1800f2e3d4449818e878329e8ba0e26802af2059,b2f8b12d742acf2e71c204dc1800f2e3d4449818e878329e8ba0e26802af2059,True,51165bb8b3eecb4060bf79a87b80134d819dea96f29dd3e1600054195b448952,51165bb8b3eecb4060bf79a87b80134d819dea96f29dd3e1600054195b448952,True,True
BookSim2,fc3,40,362681f361bf9f428ff9c8b3a583939b9e03b3ef9f15975447902550628109e4,True,9dc0bac4d43086b3573800b0d2f70df304290df313f976fcc5629a8a1c94523b,9dc0bac4d43086b3573800b0d2f70df304290df313f976fcc5629a8a1c94523b,True,0861d3eea9f989067d0e919b3e48aa9ab1210a065b912afeaa1990e097c31e06,0861d3eea9f989067d0e919b3e48aa9ab1210a065b912afeaa1990e097c31e06,True,True
BookSim2,sequential_network,40,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a,True,9829022a3195ef6372584173f096623bdc294fb626d6aa8ce21c1a385118fb94,9829022a3195ef6372584173f096623bdc294fb626d6aa8ce21c1a385118fb94,True,4e96547eeba205af07bd0d0763db1a4e6e4baf89b1f78561e42f70a487f676e7,4e96547eeba205af07bd0d0763db1a4e6e4baf89b1f78561e42f70a487f676e7,True,True
STAGE,conv1,40,565694a7c3e374f195a2bf8e845f7f55d423ae331a11d8f6b4126b5a4123723f,True,776bab22f30988e1cd3605e859d4a9de127c7edf94d7d29a9173b954ef5dc894,776bab22f30988e1cd3605e859d4a9de127c7edf94d7d29a9173b954ef5dc894,True,8937276b8e542ee3423a84b9532f539a31d40ca301f9f60a967b96199f541af8,8937276b8e542ee3423a84b9532f539a31d40ca301f9f60a967b96199f541af8,True,True
STAGE,conv2,40,58ddd0650d9302d4f09f02f4745492b87a042aedc330c8c3f482177f1a53ef2c,True,c9a5d631ee8e2cdabffcb3083cf6d2c03f1e8b3b42c62f86cfcf5fb8a76b2634,c9a5d631ee8e2cdabffcb3083cf6d2c03f1e8b3b42c62f86cfcf5fb8a76b2634,True,ed987c649c66a278929d78b412daae4dd4c1d1748a8a05ca510c1636b41fb8ec,ed987c649c66a278929d78b412daae4dd4c1d1748a8a05ca510c1636b41fb8ec,True,True
STAGE,fc1,40,ceb882f04d373e9c8a032be13e9ab9929c1305f3037c223797334947a67b94af,True,6b709c9f83024073be5b6a583f8cccb0d41355cbf9f7d1d215bbaf53d5692755,6b709c9f83024073be5b6a583f8cccb0d41355cbf9f7d1d215bbaf53d5692755,True,a8e323a3541016c80688c96a00112c59187e1bebc52ec60135dbfe86f3da9c6e,a8e323a3541016c80688c96a00112c59187e1bebc52ec60135dbfe86f3da9c6e,True,True
STAGE,fc2,40,c98d40d44ed997d5f49c1470553e4adf923c20f1f2cedaeea412ff012cdcaefb,True,d3bc7e6a4559e062e6e85b8839fd45fe28a08d6a29eabbabdc879f393ad5304e,d3bc7e6a4559e062e6e85b8839fd45fe28a08d6a29eabbabdc879f393ad5304e,True,3684d96d170df9d7f6db7ecf2a5d399c14387c6b2ca70565b82995923ac2d94f,3684d96d170df9d7f6db7ecf2a5d399c14387c6b2ca70565b82995923ac2d94f,True,True
STAGE,fc3,40,362681f361bf9f428ff9c8b3a583939b9e03b3ef9f15975447902550628109e4,True,298492754628da2a6d74bcfe768a692fe48917ceb2db9fcb38dfda1ca110f525,298492754628da2a6d74bcfe768a692fe48917ceb2db9fcb38dfda1ca110f525,True,b86ec0d00835659f887d569a9523a6fc98fab473620d3097935907508b5a31b1,b86ec0d00835659f887d569a9523a6fc98fab473620d3097935907508b5a31b1,True,True
STAGE,sequential_network,40,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a,True,35dda3fc118ed110bc337f7e7ec24a36ac548331a4e3b310b2a1f19b1e79e65d,35dda3fc118ed110bc337f7e7ec24a36ac548331a4e3b310b2a1f19b1e79e65d,True,4beffaf95390813e9666c77deaa8b31ca91f67016b1e306603e0fe4e9cf0ead6,4beffaf95390813e9666c77deaa8b31ca91f67016b1e306603e0fe4e9cf0ead6,True,True
