candidate_id,status,evidence_level,measurement_kind,layer_id,layer_kind,mode,repeat,M,N,K,image_count,completed_macs,input_elements,weight_elements,output_elements,logical_bits,compute_cycles,memory_cycles,noc_cycles,post_op_cycles,total_cycles,compute_utilization_pct,dominant_service,canonical_trace_hash,config_hash,mapping_hash,model_hash,dataset_hash,prediction_hash,lowering_hash,claim_boundary
c-922ccc75fa0886d6,completed,trend,stage_cnn_layer_cycle_service_runtime,conv1,conv2d_im2col,compute_only,0,576,6,25,1,86400,14400,150,3456,576192,22,0,0,0,22,95.88068181818181,compute,c1c86c9dc54ca72cf6e30071314cea7b6a1227e4c40261cf25a1489a381c5215,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,bcf0c073da32982eb0fe01d7835ff1a8574eff538e4f383d5036888c4b15e5e8,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,STAGE cycle/data-movement feasibility; not end-to-end numerical CNN accuracy
c-9ea3a99d5a66cf4f,completed,trend,stage_cnn_layer_cycle_service_runtime,conv1,conv2d_im2col,compute_only,1,576,6,25,1,86400,14400,150,3456,576192,22,0,0,0,22,95.88068181818181,compute,c1c86c9dc54ca72cf6e30071314cea7b6a1227e4c40261cf25a1489a381c5215,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,bcf0c073da32982eb0fe01d7835ff1a8574eff538e4f383d5036888c4b15e5e8,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,STAGE cycle/data-movement feasibility; not end-to-end numerical CNN accuracy
c-e3925edda5a40671,completed,trend,stage_cnn_layer_cycle_service_runtime,conv1,conv2d_im2col,full_system,0,576,6,25,1,86400,14400,150,3456,576192,22,4507,4502,270,9301,95.88068181818181,memory,99695c28504b4d98691d94d014d4d9cb66ca04c4939533072ddb69e9ea391a03,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,bcf0c073da32982eb0fe01d7835ff1a8574eff538e4f383d5036888c4b15e5e8,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,STAGE cycle/data-movement feasibility; not end-to-end numerical CNN accuracy
c-209eb352dc9758c6,completed,trend,stage_cnn_layer_cycle_service_runtime,conv1,conv2d_im2col,full_system,1,576,6,25,1,86400,14400,150,3456,576192,22,4507,4502,270,9301,95.88068181818181,memory,99695c28504b4d98691d94d014d4d9cb66ca04c4939533072ddb69e9ea391a03,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,bcf0c073da32982eb0fe01d7835ff1a8574eff538e4f383d5036888c4b15e5e8,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,STAGE cycle/data-movement feasibility; not end-to-end numerical CNN accuracy
c-3fb3782d4f12e6de,completed,trend,stage_cnn_layer_cycle_service_runtime,conv2,conv2d_im2col,compute_only,0,64,16,150,1,153600,9600,2400,1024,416768,38,0,0,0,38,98.6842105263158,compute,7b82a4277e578696a06c3294e7da460908e3240254bf6d19ebdc710746ea402d,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,9bae1ab44b8d50b0dc836a12960584bafb70343c9599dc02dfd586fc846ff2ef,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,STAGE cycle/data-movement feasibility; not end-to-end numerical CNN accuracy
c-4f29efb9a9c2c290,completed,trend,stage_cnn_layer_cycle_service_runtime,conv2,conv2d_im2col,compute_only,1,64,16,150,1,153600,9600,2400,1024,416768,38,0,0,0,38,98.6842105263158,compute,7b82a4277e578696a06c3294e7da460908e3240254bf6d19ebdc710746ea402d,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,9bae1ab44b8d50b0dc836a12960584bafb70343c9599dc02dfd586fc846ff2ef,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,STAGE cycle/data-movement feasibility; not end-to-end numerical CNN accuracy
c-446b2cf89aedc88d,completed,trend,stage_cnn_layer_cycle_service_runtime,conv2,conv2d_im2col,full_system,0,64,16,150,1,153600,9600,2400,1024,416768,38,3261,3256,80,6635,98.6842105263158,memory,0fbb2bf923b79d4be22c770dd930f7cb1cfd0340a5f476cf421498cc8e9fc2f7,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,9bae1ab44b8d50b0dc836a12960584bafb70343c9599dc02dfd586fc846ff2ef,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,STAGE cycle/data-movement feasibility; not end-to-end numerical CNN accuracy
c-eda919ffed4978c0,completed,trend,stage_cnn_layer_cycle_service_runtime,conv2,conv2d_im2col,full_system,1,64,16,150,1,153600,9600,2400,1024,416768,38,3261,3256,80,6635,98.6842105263158,memory,0fbb2bf923b79d4be22c770dd930f7cb1cfd0340a5f476cf421498cc8e9fc2f7,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,9bae1ab44b8d50b0dc836a12960584bafb70343c9599dc02dfd586fc846ff2ef,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,STAGE cycle/data-movement feasibility; not end-to-end numerical CNN accuracy
c-08912723b6637e07,completed,trend,stage_cnn_layer_cycle_service_runtime,fc1,fully_connected,compute_only,0,1,120,256,1,30720,256,30720,120,995072,8,0,0,0,8,93.75,compute,cb2f17757dbeb7373735a83f4654877c908b33ee724e4afe2fc40ea044c7230b,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,31d1b026d3aa214314a1b1d38b3c069aae0a12681bd7526c154a729d8fbab9b5,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,STAGE cycle/data-movement feasibility; not end-to-end numerical CNN accuracy
c-d7d067ad05f15f6e,completed,trend,stage_cnn_layer_cycle_service_runtime,fc1,fully_connected,compute_only,1,1,120,256,1,30720,256,30720,120,995072,8,0,0,0,8,93.75,compute,cb2f17757dbeb7373735a83f4654877c908b33ee724e4afe2fc40ea044c7230b,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,31d1b026d3aa214314a1b1d38b3c069aae0a12681bd7526c154a729d8fbab9b5,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,STAGE cycle/data-movement feasibility; not end-to-end numerical CNN accuracy
