case_id,evidence_level,hierarchy_action,mapping_hash,relative_error,scalesim_accesses,stage_replayed_accesses
gemm_256,Exact input-contract replay,sram_ifmap_reads,872fb8704cf60998845ac966f7b5c48c874c37dce667d54bea0d1111306d2980,0.0,4194304,4194304
gemm_256,Exact input-contract replay,sram_filter_reads,872fb8704cf60998845ac966f7b5c48c874c37dce667d54bea0d1111306d2980,0.0,65536,65536
gemm_256,Exact input-contract replay,sram_ofmap_writes,872fb8704cf60998845ac966f7b5c48c874c37dce667d54bea0d1111306d2980,0.0,4194304,4194304
gemm_256,Exact input-contract replay,dram_ifmap_reads,872fb8704cf60998845ac966f7b5c48c874c37dce667d54bea0d1111306d2980,0.0,8388608,8388608
gemm_256,Exact input-contract replay,dram_filter_reads,872fb8704cf60998845ac966f7b5c48c874c37dce667d54bea0d1111306d2980,0.0,851968,851968
gemm_256,Exact input-contract replay,dram_ofmap_writes,872fb8704cf60998845ac966f7b5c48c874c37dce667d54bea0d1111306d2980,0.0,4194311,4194311
mlp_l1,Exact input-contract replay,sram_ifmap_reads,0eccaa7ddf2eada67601657e1f67d69ef736d6c4bf0f4269246f387558b1203d,0.0,4194304,4194304
mlp_l1,Exact input-contract replay,sram_filter_reads,0eccaa7ddf2eada67601657e1f67d69ef736d6c4bf0f4269246f387558b1203d,0.0,131072,131072
mlp_l1,Exact input-contract replay,sram_ofmap_writes,0eccaa7ddf2eada67601657e1f67d69ef736d6c4bf0f4269246f387558b1203d,0.0,4194304,4194304
mlp_l1,Exact input-contract replay,dram_ifmap_reads,0eccaa7ddf2eada67601657e1f67d69ef736d6c4bf0f4269246f387558b1203d,0.0,8388608,8388608
mlp_l1,Exact input-contract replay,dram_filter_reads,0eccaa7ddf2eada67601657e1f67d69ef736d6c4bf0f4269246f387558b1203d,0.0,22138880,22138880
mlp_l1,Exact input-contract replay,dram_ofmap_writes,0eccaa7ddf2eada67601657e1f67d69ef736d6c4bf0f4269246f387558b1203d,0.0,4194311,4194311
mlp_l2,Exact input-contract replay,sram_ifmap_reads,98bcaa0ae7c1542cf230af097653965e9ef896d84d0a10e39627f8e5771952c6,0.0,1048576,1048576
mlp_l2,Exact input-contract replay,sram_filter_reads,98bcaa0ae7c1542cf230af097653965e9ef896d84d0a10e39627f8e5771952c6,0.0,32768,32768
mlp_l2,Exact input-contract replay,sram_ofmap_writes,98bcaa0ae7c1542cf230af097653965e9ef896d84d0a10e39627f8e5771952c6,0.0,1048576,1048576
mlp_l2,Exact input-contract replay,dram_ifmap_reads,98bcaa0ae7c1542cf230af097653965e9ef896d84d0a10e39627f8e5771952c6,0.0,2097152,2097152
mlp_l2,Exact input-contract replay,dram_filter_reads,98bcaa0ae7c1542cf230af097653965e9ef896d84d0a10e39627f8e5771952c6,0.0,229376,229376
mlp_l2,Exact input-contract replay,dram_ofmap_writes,98bcaa0ae7c1542cf230af097653965e9ef896d84d0a10e39627f8e5771952c6,0.0,1048583,1048583
attention_qk,Exact input-contract replay,sram_ifmap_reads,7bb278b595924630e2593f94ce3b9ff4314ad85966aea5db04404d31bff1877c,0.0,262144,262144
attention_qk,Exact input-contract replay,sram_filter_reads,7bb278b595924630e2593f94ce3b9ff4314ad85966aea5db04404d31bff1877c,0.0,8192,8192
attention_qk,Exact input-contract replay,sram_ofmap_writes,7bb278b595924630e2593f94ce3b9ff4314ad85966aea5db04404d31bff1877c,0.0,262144,262144
attention_qk,Exact input-contract replay,dram_ifmap_reads,7bb278b595924630e2593f94ce3b9ff4314ad85966aea5db04404d31bff1877c,0.0,524288,524288
attention_qk,Exact input-contract replay,dram_filter_reads,7bb278b595924630e2593f94ce3b9ff4314ad85966aea5db04404d31bff1877c,0.0,16384,16384
attention_qk,Exact input-contract replay,dram_ofmap_writes,7bb278b595924630e2593f94ce3b9ff4314ad85966aea5db04404d31bff1877c,0.0,262151,262151
attention_pv,Exact input-contract replay,sram_ifmap_reads,fb3e215679956c66f21e551b160ead49c86d6f6f8cd9a3d33af775dfcf71b1ce,0.0,262144,262144
attention_pv,Exact input-contract replay,sram_filter_reads,fb3e215679956c66f21e551b160ead49c86d6f6f8cd9a3d33af775dfcf71b1ce,0.0,8192,8192
attention_pv,Exact input-contract replay,sram_ofmap_writes,fb3e215679956c66f21e551b160ead49c86d6f6f8cd9a3d33af775dfcf71b1ce,0.0,262144,262144
attention_pv,Exact input-contract replay,dram_ifmap_reads,fb3e215679956c66f21e551b160ead49c86d6f6f8cd9a3d33af775dfcf71b1ce,0.0,524288,524288
attention_pv,Exact input-contract replay,dram_filter_reads,fb3e215679956c66f21e551b160ead49c86d6f6f8cd9a3d33af775dfcf71b1ce,0.0,16384,16384
attention_pv,Exact input-contract replay,dram_ofmap_writes,fb3e215679956c66f21e551b160ead49c86d6f6f8cd9a3d33af775dfcf71b1ce,0.0,262151,262151
