case_id,evidence_level,external_measured_accesses,family,hierarchy_action,mapping_hash,relative_error,scale,stage_replayed_accesses,tool
attention_qk_s256,Exact input-contract replay,65536,attention_qk,dram_filter_reads,6736d154ed698efcc9650c8ea1b906b7d973057b6781fac543ea402ec416072a,0.0,large,65536,SCALE-Sim
attention_qk_s256,Exact input-contract replay,2097152,attention_qk,dram_ifmap_reads,6736d154ed698efcc9650c8ea1b906b7d973057b6781fac543ea402ec416072a,0.0,large,2097152,SCALE-Sim
attention_qk_s256,Exact input-contract replay,1048583,attention_qk,dram_ofmap_writes,6736d154ed698efcc9650c8ea1b906b7d973057b6781fac543ea402ec416072a,0.0,large,1048583,SCALE-Sim
attention_qk_s256,Exact input-contract replay,16384,attention_qk,sram_filter_reads,6736d154ed698efcc9650c8ea1b906b7d973057b6781fac543ea402ec416072a,0.0,large,16384,SCALE-Sim
attention_qk_s256,Exact input-contract replay,1048576,attention_qk,sram_ifmap_reads,6736d154ed698efcc9650c8ea1b906b7d973057b6781fac543ea402ec416072a,0.0,large,1048576,SCALE-Sim
attention_qk_s256,Exact input-contract replay,1048576,attention_qk,sram_ofmap_writes,6736d154ed698efcc9650c8ea1b906b7d973057b6781fac543ea402ec416072a,0.0,large,1048576,SCALE-Sim
attention_qk_s128,Exact input-contract replay,16384,attention_qk,dram_filter_reads,fbca20075d385ba23392fb97e1e66cafb6a8df3de2c4ff0655556659c28a2324,0.0,medium,16384,SCALE-Sim
attention_qk_s128,Exact input-contract replay,524288,attention_qk,dram_ifmap_reads,fbca20075d385ba23392fb97e1e66cafb6a8df3de2c4ff0655556659c28a2324,0.0,medium,524288,SCALE-Sim
attention_qk_s128,Exact input-contract replay,262151,attention_qk,dram_ofmap_writes,fbca20075d385ba23392fb97e1e66cafb6a8df3de2c4ff0655556659c28a2324,0.0,medium,262151,SCALE-Sim
attention_qk_s128,Exact input-contract replay,8192,attention_qk,sram_filter_reads,fbca20075d385ba23392fb97e1e66cafb6a8df3de2c4ff0655556659c28a2324,0.0,medium,8192,SCALE-Sim
attention_qk_s128,Exact input-contract replay,262144,attention_qk,sram_ifmap_reads,fbca20075d385ba23392fb97e1e66cafb6a8df3de2c4ff0655556659c28a2324,0.0,medium,262144,SCALE-Sim
attention_qk_s128,Exact input-contract replay,262144,attention_qk,sram_ofmap_writes,fbca20075d385ba23392fb97e1e66cafb6a8df3de2c4ff0655556659c28a2324,0.0,medium,262144,SCALE-Sim
attention_qk_s64,Exact input-contract replay,4096,attention_qk,dram_filter_reads,6bea9b44e14a5bf5bcd7b766282429a73c65502ef7c7758c3612b5375539ccef,0.0,small,4096,SCALE-Sim
attention_qk_s64,Exact input-contract replay,4096,attention_qk,dram_ifmap_reads,6bea9b44e14a5bf5bcd7b766282429a73c65502ef7c7758c3612b5375539ccef,0.0,small,4096,SCALE-Sim
attention_qk_s64,Exact input-contract replay,65543,attention_qk,dram_ofmap_writes,6bea9b44e14a5bf5bcd7b766282429a73c65502ef7c7758c3612b5375539ccef,0.0,small,65543,SCALE-Sim
attention_qk_s64,Exact input-contract replay,4096,attention_qk,sram_filter_reads,6bea9b44e14a5bf5bcd7b766282429a73c65502ef7c7758c3612b5375539ccef,0.0,small,4096,SCALE-Sim
attention_qk_s64,Exact input-contract replay,65536,attention_qk,sram_ifmap_reads,6bea9b44e14a5bf5bcd7b766282429a73c65502ef7c7758c3612b5375539ccef,0.0,small,65536,SCALE-Sim
attention_qk_s64,Exact input-contract replay,65536,attention_qk,sram_ofmap_writes,6bea9b44e14a5bf5bcd7b766282429a73c65502ef7c7758c3612b5375539ccef,0.0,small,65536,SCALE-Sim
gemm_s512,Exact input-contract replay,30121984,gemm,dram_filter_reads,fa42efc25c84ff7277000d20e0dd1ccae1d3146dc5c0a6e681eb4525386dd479,0.0,large,30121984,SCALE-Sim
gemm_s512,Exact input-contract replay,38240256,gemm,dram_ifmap_reads,fa42efc25c84ff7277000d20e0dd1ccae1d3146dc5c0a6e681eb4525386dd479,0.0,large,38240256,SCALE-Sim
gemm_s512,Exact input-contract replay,33554439,gemm,dram_ofmap_writes,fa42efc25c84ff7277000d20e0dd1ccae1d3146dc5c0a6e681eb4525386dd479,0.0,large,33554439,SCALE-Sim
gemm_s512,Exact input-contract replay,262144,gemm,sram_filter_reads,fa42efc25c84ff7277000d20e0dd1ccae1d3146dc5c0a6e681eb4525386dd479,0.0,large,262144,SCALE-Sim
gemm_s512,Exact input-contract replay,33554432,gemm,sram_ifmap_reads,fa42efc25c84ff7277000d20e0dd1ccae1d3146dc5c0a6e681eb4525386dd479,0.0,large,33554432,SCALE-Sim
gemm_s512,Exact input-contract replay,33554432,gemm,sram_ofmap_writes,fa42efc25c84ff7277000d20e0dd1ccae1d3146dc5c0a6e681eb4525386dd479,0.0,large,33554432,SCALE-Sim
gemm_s256,Exact input-contract replay,851968,gemm,dram_filter_reads,2428f9dc46382dcb0ac704c706b165dc27b252f1096304050933353f9f3d5f52,0.0,medium,851968,SCALE-Sim
gemm_s256,Exact input-contract replay,8388608,gemm,dram_ifmap_reads,2428f9dc46382dcb0ac704c706b165dc27b252f1096304050933353f9f3d5f52,0.0,medium,8388608,SCALE-Sim
gemm_s256,Exact input-contract replay,4194311,gemm,dram_ofmap_writes,2428f9dc46382dcb0ac704c706b165dc27b252f1096304050933353f9f3d5f52,0.0,medium,4194311,SCALE-Sim
gemm_s256,Exact input-contract replay,65536,gemm,sram_filter_reads,2428f9dc46382dcb0ac704c706b165dc27b252f1096304050933353f9f3d5f52,0.0,medium,65536,SCALE-Sim
gemm_s256,Exact input-contract replay,4194304,gemm,sram_ifmap_reads,2428f9dc46382dcb0ac704c706b165dc27b252f1096304050933353f9f3d5f52,0.0,medium,4194304,SCALE-Sim
gemm_s256,Exact input-contract replay,4194304,gemm,sram_ofmap_writes,2428f9dc46382dcb0ac704c706b165dc27b252f1096304050933353f9f3d5f52,0.0,medium,4194304,SCALE-Sim
gemm_s128,Exact input-contract replay,65536,gemm,dram_filter_reads,f4612aeba286bf54e48c5b83fa3c82197e7c8b2edef12bc51b19f18f22cfecfe,0.0,small,65536,SCALE-Sim
gemm_s128,Exact input-contract replay,1048576,gemm,dram_ifmap_reads,f4612aeba286bf54e48c5b83fa3c82197e7c8b2edef12bc51b19f18f22cfecfe,0.0,small,1048576,SCALE-Sim
gemm_s128,Exact input-contract replay,524295,gemm,dram_ofmap_writes,f4612aeba286bf54e48c5b83fa3c82197e7c8b2edef12bc51b19f18f22cfecfe,0.0,small,524295,SCALE-Sim
gemm_s128,Exact input-contract replay,16384,gemm,sram_filter_reads,f4612aeba286bf54e48c5b83fa3c82197e7c8b2edef12bc51b19f18f22cfecfe,0.0,small,16384,SCALE-Sim
gemm_s128,Exact input-contract replay,524288,gemm,sram_ifmap_reads,f4612aeba286bf54e48c5b83fa3c82197e7c8b2edef12bc51b19f18f22cfecfe,0.0,small,524288,SCALE-Sim
gemm_s128,Exact input-contract replay,524288,gemm,sram_ofmap_writes,f4612aeba286bf54e48c5b83fa3c82197e7c8b2edef12bc51b19f18f22cfecfe,0.0,small,524288,SCALE-Sim
mlp_l1_m256,Exact input-contract replay,22138880,mlp_l1,dram_filter_reads,3af9ed31f02b077f3415da3f10503e4a30152dcc2693e85e37c45ac644151c4d,0.0,large,22138880,SCALE-Sim
mlp_l1_m256,Exact input-contract replay,9170944,mlp_l1,dram_ifmap_reads,3af9ed31f02b077f3415da3f10503e4a30152dcc2693e85e37c45ac644151c4d,0.0,large,9170944,SCALE-Sim
mlp_l1_m256,Exact input-contract replay,8388615,mlp_l1,dram_ofmap_writes,3af9ed31f02b077f3415da3f10503e4a30152dcc2693e85e37c45ac644151c4d,0.0,large,8388615,SCALE-Sim
mlp_l1_m256,Exact input-contract replay,131072,mlp_l1,sram_filter_reads,3af9ed31f02b077f3415da3f10503e4a30152dcc2693e85e37c45ac644151c4d,0.0,large,131072,SCALE-Sim
mlp_l1_m256,Exact input-contract replay,8388608,mlp_l1,sram_ifmap_reads,3af9ed31f02b077f3415da3f10503e4a30152dcc2693e85e37c45ac644151c4d,0.0,large,8388608,SCALE-Sim
