case_id,evidence_level,hierarchy,mapping_hash,relative_error,stage_replayed_accesses,timeloop_model_accesses
gemm_256,Exact schedule replay,register,316205a0e7ee2820ffd292016c92aa8036264b87c80c192412be75777b160962,0.0,34471936,34471936
gemm_256,Exact schedule replay,local_buffer,316205a0e7ee2820ffd292016c92aa8036264b87c80c192412be75777b160962,0.0,53608448,53608448
gemm_256,Exact schedule replay,global_buffer,316205a0e7ee2820ffd292016c92aa8036264b87c80c192412be75777b160962,0.0,11534336,11534336
gemm_256,Exact schedule replay,dram,316205a0e7ee2820ffd292016c92aa8036264b87c80c192412be75777b160962,0.0,6291456,6291456
mlp_l1,Exact schedule replay,register,395de683f77f68bd5315b1537ea047a5590621757539e89d413773b3fb5e2427,0.0,34537472,34537472
mlp_l1,Exact schedule replay,local_buffer,395de683f77f68bd5315b1537ea047a5590621757539e89d413773b3fb5e2427,0.0,53673984,53673984
mlp_l1,Exact schedule replay,global_buffer,395de683f77f68bd5315b1537ea047a5590621757539e89d413773b3fb5e2427,0.0,11599872,11599872
mlp_l1,Exact schedule replay,dram,395de683f77f68bd5315b1537ea047a5590621757539e89d413773b3fb5e2427,0.0,6324224,6324224
mlp_l2,Exact schedule replay,register,e2afa91cdd07694e0773abe11b09cffa4678f7cbb0573bc8d15e028641898b98,0.0,8617984,8617984
mlp_l2,Exact schedule replay,local_buffer,e2afa91cdd07694e0773abe11b09cffa4678f7cbb0573bc8d15e028641898b98,0.0,13467648,13467648
mlp_l2,Exact schedule replay,global_buffer,e2afa91cdd07694e0773abe11b09cffa4678f7cbb0573bc8d15e028641898b98,0.0,2916352,2916352
mlp_l2,Exact schedule replay,dram,e2afa91cdd07694e0773abe11b09cffa4678f7cbb0573bc8d15e028641898b98,0.0,1589248,1589248
attention_qk,Exact schedule replay,register,4256893eccbdc0154e3cd3ba01e1e7453cb6418d32b92bffcaf8e65caebb69b5,0.0,2129920,2129920
attention_qk,Exact schedule replay,local_buffer,4256893eccbdc0154e3cd3ba01e1e7453cb6418d32b92bffcaf8e65caebb69b5,0.0,3342336,3342336
attention_qk,Exact schedule replay,global_buffer,4256893eccbdc0154e3cd3ba01e1e7453cb6418d32b92bffcaf8e65caebb69b5,0.0,704512,704512
attention_qk,Exact schedule replay,dram,4256893eccbdc0154e3cd3ba01e1e7453cb6418d32b92bffcaf8e65caebb69b5,0.0,385024,385024
attention_pv,Exact schedule replay,register,7ddd1e4398bc58c51d7caadb902ce3cc88ae26ac16a67ede9cec71617aa008da,0.0,2146304,2146304
attention_pv,Exact schedule replay,local_buffer,7ddd1e4398bc58c51d7caadb902ce3cc88ae26ac16a67ede9cec71617aa008da,0.0,3358720,3358720
attention_pv,Exact schedule replay,global_buffer,7ddd1e4398bc58c51d7caadb902ce3cc88ae26ac16a67ede9cec71617aa008da,0.0,720896,720896
attention_pv,Exact schedule replay,dram,7ddd1e4398bc58c51d7caadb902ce3cc88ae26ac16a67ede9cec71617aa008da,0.0,393216,393216
