backpressure_events,ber_status,candidate_id,canonical_trace_sha256,channel_capacity,compute_hash,conflict_count,conversion_energy_pj,encoded_bits,encoded_bits_per_packet,endpoint_energy_pj,endpoint_hash,evidence_level,experiment_name,flow_count,graph_hash,laser_energy_pj,link_energy_pj,logical_bits,mapping_hash,mean_packet_latency_cycles,memory_hash,model_profile_hash,packet_count,payload_bits_per_packet,received_power_dbm,receiver_margin_db,route_loss_db,serdes_energy_pj,service_cycles_per_packet,total_cycles,total_transport_energy_pj,transport_hash,transport_mode,tuning_energy_pj,workload,workload_hash
0,not applicable,c-4e5b2ebe27d95936,e934ca1b850b7c392b1f5936f9f59f2aceaf2bbbc5cdb5c1c70ce2d3a1768ffe,8,289070eea5adcc3f7f275c07a9285ea55d089995358fc53159da644b3c87437e,0,0,1048576,128,0,043bd74e95652e3021b7cb36e62a6c4c645f0155a003ccd8a148f96ea4908df1,Measured paired transport runtime,rq4_electrical,8,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,0,10485.76,1048576,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,1,515cce82b207b8cfd8f34d4d6e93fd49feb4ba890d579bfb0e61603c05450c2d,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,8192,128,0,0,0,0,1,1025,10485.76,c7ece26cc2b73d6700c6c26e7a45ff4813f3398c0d6bac6da4ef0f199054d27c,electrical,0,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
8128,BER not modeled,c-2f8899c4063164da,e09e622bbf9d151ab2f3d282a1c8881782ab83decdc4213fb96b2c1ea6c2d62b,8,289070eea5adcc3f7f275c07a9285ea55d089995358fc53159da644b3c87437e,0,86507.52,1081344,132,10813.44,043bd74e95652e3021b7cb36e62a6c4c645f0155a003ccd8a148f96ea4908df1,Measured paired transport runtime,rq4_optical_conflict_free,8,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,20490,1081.344,1048576,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,8.97265625,515cce82b207b8cfd8f34d4d6e93fd49feb4ba890d579bfb0e61603c05450c2d,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,8192,128,-4.109999999999999,13.89,4.109999999999999,21626.88,2,2049,140519.184,1257e32f857c5d3a911ddf8610264855c14db333bee31b992bcf25d29c0c5650,optical_conflict_free,0,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
122312,BER not modeled,c-e013cc6c1135886d,316870dbef7910ca34fe5af606ba7fffd3a357d35bc3e309d89011d07fa96a4f,1,289070eea5adcc3f7f275c07a9285ea55d089995358fc53159da644b3c87437e,122816,86507.52,1081344,132,10813.44,043bd74e95652e3021b7cb36e62a6c4c645f0155a003ccd8a148f96ea4908df1,Measured paired transport runtime,rq4_optical_contended_attention,8,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,163850,1081.344,1048576,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,64.86865234375,515cce82b207b8cfd8f34d4d6e93fd49feb4ba890d579bfb0e61603c05450c2d,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,8192,128,-4.109999999999999,13.89,4.109999999999999,21626.88,2,16385,283879.184,f9c9dcc441f10251205317ec26afdd72248b95472c7871e7addf2dc05d93ea73,optical_contended,0,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
57064,BER not modeled,c-f824d10e082b9705,b5a460f30dec9ea9027f14a8cc6bd133f47e6e3cbbc7d99b8a2be50fc8c63f1d,2,289070eea5adcc3f7f275c07a9285ea55d089995358fc53159da644b3c87437e,57312,86507.52,1081344,132,10813.44,043bd74e95652e3021b7cb36e62a6c4c645f0155a003ccd8a148f96ea4908df1,Measured paired transport runtime,rq4_optical_contended_attention,8,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,81930,1081.344,1048576,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,32.9306640625,515cce82b207b8cfd8f34d4d6e93fd49feb4ba890d579bfb0e61603c05450c2d,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,8192,128,-4.109999999999999,13.89,4.109999999999999,21626.88,2,8193,201959.18400000004,1f591613d5ebdf6fd56a6154a6ae38ae7ffc6db0b3c6ffe7172202430b188169,optical_contended,0,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
24440,BER not modeled,c-94720273ca9de3a7,797c13cb7b002d7ba4b62b42676af6ae407023294c948dffcd9515420f33a8af,4,289070eea5adcc3f7f275c07a9285ea55d089995358fc53159da644b3c87437e,24560,86507.52,1081344,132,10813.44,043bd74e95652e3021b7cb36e62a6c4c645f0155a003ccd8a148f96ea4908df1,Measured paired transport runtime,rq4_optical_contended_attention,8,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,40970,1081.344,1048576,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,16.9609375,515cce82b207b8cfd8f34d4d6e93fd49feb4ba890d579bfb0e61603c05450c2d,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,8192,128,-4.109999999999999,13.89,4.109999999999999,21626.88,2,4097,160999.18400000004,d6b8f40b7f036d8389cae22951365276f432793a06db96e7b0cdcf16f34e82b3,optical_contended,0,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
8128,BER not modeled,c-75b2ede3d9c1098e,7f36ab0d6f4808e8af0643c40cacf56d7b31cbcae81f390d338cf88e09cd6297,8,289070eea5adcc3f7f275c07a9285ea55d089995358fc53159da644b3c87437e,8184,86507.52,1081344,132,10813.44,043bd74e95652e3021b7cb36e62a6c4c645f0155a003ccd8a148f96ea4908df1,Measured paired transport runtime,rq4_optical_contended_attention,8,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,20490,1081.344,1048576,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,8.97265625,515cce82b207b8cfd8f34d4d6e93fd49feb4ba890d579bfb0e61603c05450c2d,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,8192,128,-4.109999999999999,13.89,4.109999999999999,21626.88,2,2049,140519.184,423ec39335e0d4129ab9e21bb2f4d29fbbd1fa4aae00e5e8a99b1fe7ff99b49f,optical_contended,0,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
0,not applicable,c-8ffa5bd8b88b6875,684d7a71ccfc003d95e2051d6b0df087d0dd811af8e6e56f41b62896d98b937c,8,289070eea5adcc3f7f275c07a9285ea55d089995358fc53159da644b3c87437e,0,0,3145728,128,0,043bd74e95652e3021b7cb36e62a6c4c645f0155a003ccd8a148f96ea4908df1,Measured paired transport runtime,rq4_electrical,8,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,0,31457.28,3145728,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,1,515cce82b207b8cfd8f34d4d6e93fd49feb4ba890d579bfb0e61603c05450c2d,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,24576,128,0,0,0,0,1,3073,31457.28,c7ece26cc2b73d6700c6c26e7a45ff4813f3398c0d6bac6da4ef0f199054d27c,electrical,0,gemm_256,c0157ff08f95018c890c4d63493f6389196193885b81cc90bb3282e7227060a3
24512,BER not modeled,c-33317e8613d83098,623528460c613f82964b003aaf84753bbf5ed00243e5680a08a6f887c6c08c81,8,289070eea5adcc3f7f275c07a9285ea55d089995358fc53159da644b3c87437e,0,259522.56,3244032,132,32440.32,043bd74e95652e3021b7cb36e62a6c4c645f0155a003ccd8a148f96ea4908df1,Measured paired transport runtime,rq4_optical_conflict_free,8,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,61450,3244.032,3145728,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,8.990885416666666,515cce82b207b8cfd8f34d4d6e93fd49feb4ba890d579bfb0e61603c05450c2d,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,24576,128,-4.109999999999999,13.89,4.109999999999999,64880.64,2,6145,421537.552,1257e32f857c5d3a911ddf8610264855c14db333bee31b992bcf25d29c0c5650,optical_conflict_free,0,gemm_256,c0157ff08f95018c890c4d63493f6389196193885b81cc90bb3282e7227060a3
368072,BER not modeled,c-4030e1ba7f5d3475,8768b5a702398e2b2c9a5cb72af61531827f6135c4ffff1dd6d46739dc07e549,1,289070eea5adcc3f7f275c07a9285ea55d089995358fc53159da644b3c87437e,368576,259522.56,3244032,132,32440.32,043bd74e95652e3021b7cb36e62a6c4c645f0155a003ccd8a148f96ea4908df1,Measured paired transport runtime,rq4_optical_contended_gemm,8,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,491530,3244.032,3145728,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,64.95621744791667,515cce82b207b8cfd8f34d4d6e93fd49feb4ba890d579bfb0e61603c05450c2d,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,24576,128,-4.109999999999999,13.89,4.109999999999999,64880.64,2,49153,851617.5519999999,f9c9dcc441f10251205317ec26afdd72248b95472c7871e7addf2dc05d93ea73,optical_contended,0,gemm_256,c0157ff08f95018c890c4d63493f6389196193885b81cc90bb3282e7227060a3
171752,BER not modeled,c-fdba8dfe72da891f,1e05d236f55380df44b5113d5326f61ee868255d85232095ec33095b287aae50,2,289070eea5adcc3f7f275c07a9285ea55d089995358fc53159da644b3c87437e,172000,259522.56,3244032,132,32440.32,043bd74e95652e3021b7cb36e62a6c4c645f0155a003ccd8a148f96ea4908df1,Measured paired transport runtime,rq4_optical_contended_gemm,8,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,245770,3244.032,3145728,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,32.976888020833336,515cce82b207b8cfd8f34d4d6e93fd49feb4ba890d579bfb0e61603c05450c2d,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,24576,128,-4.109999999999999,13.89,4.109999999999999,64880.64,2,24577,605857.5519999999,1f591613d5ebdf6fd56a6154a6ae38ae7ffc6db0b3c6ffe7172202430b188169,optical_contended,0,gemm_256,c0157ff08f95018c890c4d63493f6389196193885b81cc90bb3282e7227060a3
