axis,axis_value,candidate_config_hash,candidate_id,canonical_trace_sha256,compute_critical_cycles,compute_service_demand_cycles,conversion_critical_cycles,dominant_bottleneck,dominant_component_id,dominant_link_id,dominant_packet_evidence,dominant_reason,dominant_stall_cycles,evidence_level,graph_hash,invariant_non_axis_model_hash,link_bits_per_cycle,macs_per_pe_per_cycle,mapping_hash,memory_critical_cycles,memory_ports,memory_service_demand_cycles,noc_critical_cycles,noc_service_demand_cycles,queue_depth,reduction_critical_cycles,softmax_critical_cycles,total_cycles,workload,workload_hash
link_width,64,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-5b5e75e79ef649d9,085e00d99947b361f6afbe2986b7f1dab3e5b5cf27f926eea14292dff1a4f537,0,512,0,noc,router[0..15],mesh.transport,packet-range:0..8191,link_serialization_or_arbitration,2048,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,64,256,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,0,1,1280,2048,2048,4,256,1024,3328,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
link_width,128,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-7ada7310325321bf,bde09f4cd62aeab0467758402fa20630e3837f205f1134777a45b979f29fbe4a,0,512,0,memory,memory0,memory0.port[0],packet-range:0..8191,memory_port_busy,1280,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,128,256,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,1280,1,1280,0,1024,4,256,1024,2560,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
link_width,256,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-decd2085c759d963,bde09f4cd62aeab0467758402fa20630e3837f205f1134777a45b979f29fbe4a,0,512,0,memory,memory0,memory0.port[0],packet-range:0..8191,memory_port_busy,1280,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,256,256,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,1280,1,1280,0,1024,4,256,1024,2560,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
link_width,512,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-ed191e7e31b8680a,bde09f4cd62aeab0467758402fa20630e3837f205f1134777a45b979f29fbe4a,0,512,0,memory,memory0,memory0.port[0],packet-range:0..8191,memory_port_busy,1280,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,512,256,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,1280,1,1280,0,1024,4,256,1024,2560,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
memory_ports,1,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-37182b0c1afbea68,bde09f4cd62aeab0467758402fa20630e3837f205f1134777a45b979f29fbe4a,0,512,0,memory,memory0,memory0.port[0],packet-range:0..8191,memory_port_busy,1280,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,128,256,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,1280,1,1280,0,1024,4,256,1024,2560,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
memory_ports,2,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-601bac16beae02f8,26c3cb5fa34700599d65ba91f6677afb4d551a32da8f675267e634b30ea3d75a,0,512,0,noc,router[0..15],mesh.transport,packet-range:0..8191,link_serialization_or_arbitration,1024,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,128,256,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,0,2,640,1024,1024,4,256,1024,2304,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
memory_ports,4,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-6fd06f1f71a33af1,3f1fc0e92103e06130c07f619350a82b3b21bbb58b6148a04905839dded69df8,0,512,0,noc,router[0..15],mesh.transport,packet-range:0..8191,link_serialization_or_arbitration,1024,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,128,256,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,0,4,320,1024,1024,4,256,1024,2304,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
pe_rate,64,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-c1e3e18d12bd1116,daaed68b21ad05978913a4a1aba20103fa96801cc112d54705be86250ee8a6bc,2048,2048,0,compute,pe[0..15],none,operation-range:0..last,compute_busy,2048,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,128,64,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,0,1,1280,0,1024,4,256,1024,3328,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
pe_rate,128,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-af618f744a323c25,091fca722aafac41ab62e9c023ff0c160bc4c34baa053614547f0e343d16fa4d,0,1024,0,memory,memory0,memory0.port[0],packet-range:0..8191,memory_port_busy,1280,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,128,128,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,1280,1,1280,0,1024,4,256,1024,2560,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
pe_rate,256,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-40b6835de9e02e39,bde09f4cd62aeab0467758402fa20630e3837f205f1134777a45b979f29fbe4a,0,512,0,memory,memory0,memory0.port[0],packet-range:0..8191,memory_port_busy,1280,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,128,256,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,1280,1,1280,0,1024,4,256,1024,2560,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
pe_rate,512,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-a73ad11104b82c50,510f3421095521bb5abd1fa56de2ddf06056b1b8566ce7b5ad909117a700a108,0,256,0,memory,memory0,memory0.port[0],packet-range:0..8191,memory_port_busy,1280,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,128,512,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,1280,1,1280,0,1024,4,256,1024,2560,attention_128_64,fbe0d419e11d7eec23c613659c5bb85a287de71e1ecb8e63b58488287edd5272
link_width,64,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-2b7137ce90f0b372,267699c141a0cca0f30d5ce4069f3c86db37e086a1d47a883a72a4a9bc9b93da,0,4096,0,noc,router[0..15],mesh.transport,packet-range:0..24575,link_serialization_or_arbitration,6144,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,64,256,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,0,1,2560,6144,6144,4,2,0,6146,gemm_256,c0157ff08f95018c890c4d63493f6389196193885b81cc90bb3282e7227060a3
link_width,128,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-a7e90acfce4c5368,be9cfd164cba2383d6c4fc29d7af1f6a0d30b1cedaf60ec4dee347c8735ceef2,4096,4096,0,compute,pe[0..15],none,operation-range:0..last,compute_busy,4096,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,128,256,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,0,1,2560,0,3072,4,2,0,4098,gemm_256,c0157ff08f95018c890c4d63493f6389196193885b81cc90bb3282e7227060a3
link_width,256,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,c-092c2e0be9200e25,be9cfd164cba2383d6c4fc29d7af1f6a0d30b1cedaf60ec4dee347c8735ceef2,4096,4096,0,compute,pe[0..15],none,operation-range:0..last,compute_busy,4096,Measured STAGE-only cycle runtime,bf10f69d94b3ad849c1317ccb75ca98e01f67de0ed54b3d19411f1ac344ecdf0,a21641b69e085bb1afc147209ca703de820afe279a5870193dfcc325b14274bd,256,256,385d4a3ce97fce9d99930055b3a9f005d8af2623eeb227d53bbbabb476595597,0,1,2560,0,3072,4,2,0,4098,gemm_256,c0157ff08f95018c890c4d63493f6389196193885b81cc90bb3282e7227060a3
