K,M,N,accuracy,actual_output_hash,axis_case_id,axis_mode,axis_profile_id,axis_repeat,candidate_id,canonical_trace_hash,case_id,columns,completed_macs,compute_cycles,compute_timing_distinguishes_arithmetic_profile,compute_utilization_pct,config_hash,conversion_cycles,conversion_energy_pj,correct,dataset_hash,dominant_service,evidence_level,exact_encoded_bits,expected_output_hash,experiment_name,functional_wall_seconds,image_count,images,input_elements,internal_repeats,layer_count,layer_id,layer_kind,logical_bits,lowering_hash,mapping_hash,memory_cycles,mode,model_hash,noc_cycles,non_finite_values,output_elements,packet_count,packetized_bits,padding_bits,passed,payload_bits_per_element,peak_gpu_memory_bytes,post_op_cycles,post_op_elements_per_image,prediction_hash,profile_id,provider,raw_path,repeat,repeat_exact,rows,scenario,seed,sequential_cycles,status,total_cycles,transport_hash,weight_elements,workload_hash
,,,0.9828,,,,fp8_a16,0,c-43be35573f0d2afe,,,,,,,,408b5f7499205e9b4e645590e914f3a1b19723927af5a4080d90bc3c787a2a69,,,9828,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,numerical,,,mnist_pe_functional_r1,7.304306399979396,10000,10000,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,0,,,,,,,189223936,,,functional_candidate_binding_deferred_to_pair_analysis,fp8_a16,mnist_pe,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_functional_r1/c-43be35573f0d2afe.json,0,,,mnist_pe_functional,,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,0.9828,,,,fp8_a16,1,c-4f6d22bef5b84f14,,,,,,,,408b5f7499205e9b4e645590e914f3a1b19723927af5a4080d90bc3c787a2a69,,,9828,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,numerical,,,mnist_pe_functional_r1,7.521968399989419,10000,10000,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,0,,,,,,,189223936,,,functional_candidate_binding_deferred_to_pair_analysis,fp8_a16,mnist_pe,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_functional_r1/c-4f6d22bef5b84f14.json,1,,,mnist_pe_functional,,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,0.984,,,,fp16_a16,0,c-5983309689126483,,,,,,,,408b5f7499205e9b4e645590e914f3a1b19723927af5a4080d90bc3c787a2a69,,,9840,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,numerical,,,mnist_pe_functional_r1,5.109884100005729,10000,10000,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,0,,,,,,,21910528,,,functional_candidate_binding_deferred_to_pair_analysis,fp16_a16,mnist_pe,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_functional_r1/c-5983309689126483.json,0,,,mnist_pe_functional,,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,0.984,,,,fp16_a16,1,c-868c2f836a5973d2,,,,,,,,408b5f7499205e9b4e645590e914f3a1b19723927af5a4080d90bc3c787a2a69,,,9840,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,numerical,,,mnist_pe_functional_r1,4.944868799997494,10000,10000,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,0,,,,,,,21910528,,,functional_candidate_binding_deferred_to_pair_analysis,fp16_a16,mnist_pe,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_functional_r1/c-868c2f836a5973d2.json,1,,,mnist_pe_functional,,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,0.9735,,,,fp8_a8,1,c-9bf3dba14e505f0e,,,,,,,,408b5f7499205e9b4e645590e914f3a1b19723927af5a4080d90bc3c787a2a69,,,9735,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,numerical,,,mnist_pe_functional_r1,7.212655400013318,10000,10000,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,0,,,,,,,189223936,,,functional_candidate_binding_deferred_to_pair_analysis,fp8_a8,mnist_pe,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_functional_r1/c-9bf3dba14e505f0e.json,1,,,mnist_pe_functional,,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,0.9839,,,,fp32_a32,1,c-aac047aae46e2294,,,,,,,,408b5f7499205e9b4e645590e914f3a1b19723927af5a4080d90bc3c787a2a69,,,9839,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,numerical,,,mnist_pe_functional_r1,4.748841900000116,10000,10000,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,0,,,,,,,27535360,,,functional_candidate_binding_deferred_to_pair_analysis,fp32_a32,mnist_pe,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_functional_r1/c-aac047aae46e2294.json,1,,,mnist_pe_functional,,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,0.9735,,,,fp8_a8,0,c-c8cb2dc14a8769a7,,,,,,,,408b5f7499205e9b4e645590e914f3a1b19723927af5a4080d90bc3c787a2a69,,,9735,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,numerical,,,mnist_pe_functional_r1,6.712884300010046,10000,10000,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,0,,,,,,,189223936,,,functional_candidate_binding_deferred_to_pair_analysis,fp8_a8,mnist_pe,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_functional_r1/c-c8cb2dc14a8769a7.json,0,,,mnist_pe_functional,,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,0.9839,,,,fp32_a32,0,c-cc4b53f3099fa82f,,,,,,,,408b5f7499205e9b4e645590e914f3a1b19723927af5a4080d90bc3c787a2a69,,,9839,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,numerical,,,mnist_pe_functional_r1,5.805813899991335,10000,10000,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,0,,,,,,,27535360,,,functional_candidate_binding_deferred_to_pair_analysis,fp32_a32,mnist_pe,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_functional_r1/c-cc4b53f3099fa82f.json,0,,,mnist_pe_functional,,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,,1c09a943285337a4cc39e4c8689efa1869d2e72c0725fb0b6c25e93a4d160fbc,half_subnormal_7x4,,fp8_a8,1,c-0239dc3548bfb022,,half_subnormal_7x4,4,,,,,ddef5c3a066d4b40ce57809b4469a0b7211f41f29ff8caca4494df1e97230f41,,,,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,exact,True,1c09a943285337a4cc39e4c8689efa1869d2e72c0725fb0b6c25e93a4d160fbc,mnist_pe_kernel_conformance,,,,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,,4,,,,True,,,,,functional_candidate_binding_deferred_to_pair_analysis,fp8_a8,stage,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_kernel_conformance/c-0239dc3548bfb022.json,1,,7,mnist_pe_kernel_conformance,7402,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
,,,,a75ce97c4aa93fbc00069d619272ca3c81db4405aa03ce0f9774c2aba187f5d4,negative_zero_1x1,,fp8_a8,0,c-02fb5f6d4fffd597,,negative_zero_1x1,1,,,,,ddef5c3a066d4b40ce57809b4469a0b7211f41f29ff8caca4494df1e97230f41,,,,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,,exact,True,a75ce97c4aa93fbc00069d619272ca3c81db4405aa03ce0f9774c2aba187f5d4,mnist_pe_kernel_conformance,,,,,,,,,,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,,,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,,,1,,,,True,,,,,functional_candidate_binding_deferred_to_pair_analysis,fp8_a8,stage,experiments/aspdac/results/mnist_pe_precision_20260717/raw/mnist_pe_kernel_conformance/c-02fb5f6d4fffd597.json,0,,1,mnist_pe_kernel_conformance,7408,,completed,,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be
