evidence_kind,identity,repeat_0_candidate_id,repeat_1_candidate_id,repeat_0_hash,repeat_1_hash,exact
functional,fp32_a32,c-cc4b53f3099fa82f,c-aac047aae46e2294,0f410e262c20549ce4bde2e0ee2710a34137902844ff98e476f4738362135129,0f410e262c20549ce4bde2e0ee2710a34137902844ff98e476f4738362135129,True
functional,fp16_a16,c-5983309689126483,c-868c2f836a5973d2,6ff8f42d0cebe836b5dd794055bcfdb0e3022dd4ab88770b2b23ef6a4954d0e7,6ff8f42d0cebe836b5dd794055bcfdb0e3022dd4ab88770b2b23ef6a4954d0e7,True
functional,fp8_a16,c-43be35573f0d2afe,c-4f6d22bef5b84f14,9a8d5e53b385bb639dc925ef9a762eca4bb9226b6edbd26d7009f75a2f687187,9a8d5e53b385bb639dc925ef9a762eca4bb9226b6edbd26d7009f75a2f687187,True
functional,fp8_a8,c-c8cb2dc14a8769a7,c-9bf3dba14e505f0e,366e2dd95f74dad2c252911c1a5c03e23424028c23c3c9cf518daa347a7d375d,366e2dd95f74dad2c252911c1a5c03e23424028c23c3c9cf518daa347a7d375d,True
smoke_internal,fp8_a8,c-6891f99ce00c41c7:pass0,c-6891f99ce00c41c7:pass1,870beb5e58f8ea619335ba92d753b8b1893274e53fac9578e01e03c887937c0d,870beb5e58f8ea619335ba92d753b8b1893274e53fac9578e01e03c887937c0d,True
smoke_internal,fp8_a16,c-9a817f1c074eaa37:pass0,c-9a817f1c074eaa37:pass1,e7d209d2787242b1e4d0bfd54c541b68a18b7cbd9bfb3c46971b36d12be5a178,e7d209d2787242b1e4d0bfd54c541b68a18b7cbd9bfb3c46971b36d12be5a178,True
smoke_internal,fp32_a32,c-c79c8b91c7288a91:pass0,c-c79c8b91c7288a91:pass1,805128e8d89f01c630756388ba55c49cba6c50af9baba7db27cc80680bc8364b,805128e8d89f01c630756388ba55c49cba6c50af9baba7db27cc80680bc8364b,True
smoke_internal,fp16_a16,c-c9b6e8d8e3f9a129:pass0,c-c9b6e8d8e3f9a129:pass1,53cb697a3745f439288b00459ca424e1d288ec3c651fb82c84491cccc6d1e02d,53cb697a3745f439288b00459ca424e1d288ec3c651fb82c84491cccc6d1e02d,True
kernel,accumulation_15x10/fp16_a16,c-892fc98ddc843810,c-86cc879d23e8b034,e0276a437054afb3dd21ab4ed92e7a33fe7127c336c5ef162a6fd9e9d4c1150f,e0276a437054afb3dd21ab4ed92e7a33fe7127c336c5ef162a6fd9e9d4c1150f,True
kernel,accumulation_15x10/fp32_a32,c-59ef9765db9d4060,c-fcca39ab309e1d2a,1ed88ec2e89ea52deb0fdc79f8f9560ba485440d9b94771ec4691343bd9aeb3d,1ed88ec2e89ea52deb0fdc79f8f9560ba485440d9b94771ec4691343bd9aeb3d,True
