workload,traffic_scale,architecture,status,total_cycles,mean_packet_latency,p95_packet_latency,total_transport_energy_pj,electrical_backpressure,optical_backpressure,wavelength_conflicts,completed_packets,e128_cycles,speedup_vs_e128
attention_pv_s128_d64,1,E128,completed,46.0,23.15625,34.0,405.50399999999945,0.0,0.0,0.0,32.0,46.0,1.0
attention_pv_s128_d64,1,H4,completed,284.0,140.625,241.0,8096.192000000001,0.0,0.0,0.0,32.0,46.0,0.1619718309859155
attention_pv_s128_d64,1,O1,completed,348.0,206.96875,325.0,11954.624000000003,0.0,0.0,0.0,32.0,46.0,0.13218390804597702
attention_pv_s128_d64,1,O2,completed,375.0,227.59375,347.0,19737.08799999992,0.0,0.0,0.0,32.0,46.0,0.12266666666666666
attention_pv_s128_d64,1,O4,completed,511.0,300.78125,472.0,20152.559999999947,0.0,0.0,0.0,32.0,46.0,0.09001956947162426
attention_pv_s128_d64,2,E128,completed,76.0,34.796875,61.0,811.007999999999,0.0,0.0,0.0,64.0,76.0,1.0
attention_pv_s128_d64,2,H4,completed,398.0,189.296875,329.0,16192.383999999964,0.0,0.0,0.0,64.0,76.0,0.19095477386934673
attention_pv_s128_d64,2,O1,completed,538.0,283.453125,489.0,23909.24799999985,0.0,0.0,0.0,64.0,76.0,0.1412639405204461
attention_pv_s128_d64,2,O2,completed,489.0,277.265625,445.0,39474.17599999967,0.0,0.0,0.0,64.0,76.0,0.1554192229038855
attention_pv_s128_d64,2,O4,completed,707.0,379.328125,640.0,40305.1199999996,0.0,0.0,0.0,64.0,76.0,0.1074964639321075
attention_pv_s128_d64,4,E128,completed,136.0,58.6171875,119.0,1622.0159999999912,0.0,0.0,0.0,128.0,136.0,1.0
attention_pv_s128_d64,4,H4,completed,626.0,286.4609375,545.0,32384.767999999814,0.0,0.0,0.0,128.0,136.0,0.21725239616613418
attention_pv_s128_d64,4,O1,completed,918.0,433.03125,831.0,47818.495999998806,0.0,0.0,0.0,128.0,136.0,0.14814814814814814
attention_pv_s128_d64,4,O2,completed,720.0,374.5,654.0,78948.3519999996,0.0,0.0,0.0,128.0,136.0,0.18888888888888888
attention_pv_s128_d64,4,O4,completed,1138.0,544.0,1046.0,80610.23999999948,0.0,0.0,0.0,128.0,136.0,0.1195079086115993
attention_qk_s128_d64,1,E128,completed,42.0,18.125,27.0,420.86399999999935,0.0,0.0,0.0,32.0,42.0,1.0
