candidate_id,case_id,workload,traffic_scale,architecture,transport_mode,wavelengths,route_length_mm,packet_bits,encoded_bits,offered_load,seed,repeat,status,attempt_id,workload_sha256,traffic_sha256,mapping_sha256,compute_sha256,memory_sha256,endpoint_sha256,transport_sha256,invariant_pair_sha256,total_cycles,transport_cycles,throughput,mean_packet_latency,p95_packet_latency,completed_packets,serialization_cycles,conversion_cycles,electrical_backpressure,optical_backpressure,wavelength_conflicts,wavelength_occupancy,compute_critical,memory_critical,noc_critical,conversion_critical,electrical_energy_pj,serdes_energy_pj,conversion_energy_pj,optical_link_energy_pj,laser_energy_pj,tuning_energy_pj,total_transport_energy_pj,path_loss_db,received_power_dbm,receiver_margin_db,ber_status,canonical_trace_sha256,raw_path,command,host,evidence_level,claim_boundary,failure_reason
rfbr1-55bfd2e186ec6cf1d536,attention_pv_s128_d64-s1-E128,attention_pv_s128_d64,1,E128,electrical,0,0,128,4096,,25101,0,completed,main-attempt-2,47fe42b2f79ebeaa097e55e7a29ed23ba1c11076d3b742e9e8d1ede44d216830,908557e8e8309bc83b587d9961dfc59d888bb2404ce07c0fda34a4aebf12a721,e189f05e753a34c69275aac6136efbda8b256bd811bc4494053d58bd53293127,e43e82c88998035db67739d07db6bf4261358d9037be01f3288e70b3a2a0bfb0,49da58d6f636d26ac3ee50428390c3138abdcfdfb808c515787feb37c2a68787,8aeae81f7fab359faa212d06a0db04a69d0b95c4e8ac5b8d35b835325095e9a1,64bca3d1061783ec55395730454d877855e2ceefb20e57498561269fa20bc4ec,4266814f3587866c027909e53c6006aed047c9c540774aab9428ebbdbfc2fef1,46,46,0.6956521739130435,23.15625,34,32,0,0,0,0,0,0,0,0,46,0,405.50399999999945,0,0,0,0,0,405.50399999999945,0,0,0,excluded_not_modeled,33a79ef30ae99297127d4ab98c2e934fa88b1959b54fd8165f0462b671614c48,experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b1_main_attempt_2/rfbr1-55bfd2e186ec6cf1d536-trace,dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b1-main,anonymous-host,production_typed_graph,XY-forward directed 4x4 subset; synthetic functional optical model; BER and silicon calibration excluded.,
rfbr1-6f60e2b7a984cce79c91,attention_pv_s128_d64-s1-E128,attention_pv_s128_d64,1,E128,electrical,0,0,128,4096,,25101,1,completed,main-attempt-2,47fe42b2f79ebeaa097e55e7a29ed23ba1c11076d3b742e9e8d1ede44d216830,908557e8e8309bc83b587d9961dfc59d888bb2404ce07c0fda34a4aebf12a721,e189f05e753a34c69275aac6136efbda8b256bd811bc4494053d58bd53293127,e43e82c88998035db67739d07db6bf4261358d9037be01f3288e70b3a2a0bfb0,49da58d6f636d26ac3ee50428390c3138abdcfdfb808c515787feb37c2a68787,8aeae81f7fab359faa212d06a0db04a69d0b95c4e8ac5b8d35b835325095e9a1,64bca3d1061783ec55395730454d877855e2ceefb20e57498561269fa20bc4ec,4266814f3587866c027909e53c6006aed047c9c540774aab9428ebbdbfc2fef1,46,46,0.6956521739130435,23.15625,34,32,0,0,0,0,0,0,0,0,46,0,405.50399999999945,0,0,0,0,0,405.50399999999945,0,0,0,excluded_not_modeled,33a79ef30ae99297127d4ab98c2e934fa88b1959b54fd8165f0462b671614c48,experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b1_main_attempt_2/rfbr1-6f60e2b7a984cce79c91-trace,dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b1-main,anonymous-host,production_typed_graph,XY-forward directed 4x4 subset; synthetic functional optical model; BER and silicon calibration excluded.,
rfbr1-c639970d28f812131dc6,attention_pv_s128_d64-s1-H4,attention_pv_s128_d64,1,H4,hybrid,4,0.13825,128,4192,,25101,0,completed,main-attempt-2,47fe42b2f79ebeaa097e55e7a29ed23ba1c11076d3b742e9e8d1ede44d216830,908557e8e8309bc83b587d9961dfc59d888bb2404ce07c0fda34a4aebf12a721,e189f05e753a34c69275aac6136efbda8b256bd811bc4494053d58bd53293127,e43e82c88998035db67739d07db6bf4261358d9037be01f3288e70b3a2a0bfb0,49da58d6f636d26ac3ee50428390c3138abdcfdfb808c515787feb37c2a68787,8aeae81f7fab359faa212d06a0db04a69d0b95c4e8ac5b8d35b835325095e9a1,1ac81e351b290eebe0d3614d3469ce62f23f4e462ae056e20b780cc7c272a837,4266814f3587866c027909e53c6006aed047c9c540774aab9428ebbdbfc2fef1,284,284,0.11267605633802817,140.625,241,32,0,182,0,0,0,0.25,0,0,102,182,1391.8719999999998,83.2,337.91999999999894,6283.200000000001,0,0,8096.192000000001,1.2610000000000001,-1.2610000000000001,18.739,excluded_not_modeled,7042278f4cf4959896f6f35ad5ff2a351acf8af458eea7c3739d9fcde240d970,experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b1_main_attempt_2/rfbr1-c639970d28f812131dc6-trace,dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b1-main,anonymous-host,production_typed_graph,XY-forward directed 4x4 subset; synthetic functional optical model; BER and silicon calibration excluded.,
rfbr1-b220680a1fb11be5cc05,attention_pv_s128_d64-s1-H4,attention_pv_s128_d64,1,H4,hybrid,4,0.13825,128,4192,,25101,1,completed,main-attempt-2,47fe42b2f79ebeaa097e55e7a29ed23ba1c11076d3b742e9e8d1ede44d216830,908557e8e8309bc83b587d9961dfc59d888bb2404ce07c0fda34a4aebf12a721,e189f05e753a34c69275aac6136efbda8b256bd811bc4494053d58bd53293127,e43e82c88998035db67739d07db6bf4261358d9037be01f3288e70b3a2a0bfb0,49da58d6f636d26ac3ee50428390c3138abdcfdfb808c515787feb37c2a68787,8aeae81f7fab359faa212d06a0db04a69d0b95c4e8ac5b8d35b835325095e9a1,1ac81e351b290eebe0d3614d3469ce62f23f4e462ae056e20b780cc7c272a837,4266814f3587866c027909e53c6006aed047c9c540774aab9428ebbdbfc2fef1,284,284,0.11267605633802817,140.625,241,32,0,182,0,0,0,0.25,0,0,102,182,1391.8719999999998,83.2,337.91999999999894,6283.200000000001,0,0,8096.192000000001,1.2610000000000001,-1.2610000000000001,18.739,excluded_not_modeled,7042278f4cf4959896f6f35ad5ff2a351acf8af458eea7c3739d9fcde240d970,experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b1_main_attempt_2/rfbr1-b220680a1fb11be5cc05-trace,dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b1-main,anonymous-host,production_typed_graph,XY-forward directed 4x4 subset; synthetic functional optical model; BER and silicon calibration excluded.,
rfbr1-b428c8640c5d641395f7,attention_pv_s128_d64-s1-O1,attention_pv_s128_d64,1,O1,optical,1,0.01,128,4224,,25101,0,completed,main-attempt-2,47fe42b2f79ebeaa097e55e7a29ed23ba1c11076d3b742e9e8d1ede44d216830,908557e8e8309bc83b587d9961dfc59d888bb2404ce07c0fda34a4aebf12a721,e189f05e753a34c69275aac6136efbda8b256bd811bc4494053d58bd53293127,e43e82c88998035db67739d07db6bf4261358d9037be01f3288e70b3a2a0bfb0,49da58d6f636d26ac3ee50428390c3138abdcfdfb808c515787feb37c2a68787,8aeae81f7fab359faa212d06a0db04a69d0b95c4e8ac5b8d35b835325095e9a1,4123455e3f16154c8cb3b9b17fd683b3d5865f8a7f2ce4e1ee2be584e9240c13,4266814f3587866c027909e53c6006aed047c9c540774aab9428ebbdbfc2fef1,348,348,0.09195402298850575,206.96875,325,32,0,275,0,0,0,0,0,0,73,275,3266.944000000012,207.99999999999991,844.7999999999971,7634.879999999994,0,0,11954.624000000005,0.002,-0.002,19.998,excluded_not_modeled,b4a6e3ec0a65ede36be8f2d56091354337b52b1a54caaa25c451e5d78faad6e2,experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b1_main_attempt_2/rfbr1-b428c8640c5d641395f7-trace,dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b1-main,anonymous-host,production_typed_graph,XY-forward directed 4x4 subset; synthetic functional optical model; BER and silicon calibration excluded.,
rfbr1-9c8361ec222f97ff3794,attention_pv_s128_d64-s1-O1,attention_pv_s128_d64,1,O1,optical,1,0.01,128,4224,,25101,1,completed,main-attempt-2,47fe42b2f79ebeaa097e55e7a29ed23ba1c11076d3b742e9e8d1ede44d216830,908557e8e8309bc83b587d9961dfc59d888bb2404ce07c0fda34a4aebf12a721,e189f05e753a34c69275aac6136efbda8b256bd811bc4494053d58bd53293127,e43e82c88998035db67739d07db6bf4261358d9037be01f3288e70b3a2a0bfb0,49da58d6f636d26ac3ee50428390c3138abdcfdfb808c515787feb37c2a68787,8aeae81f7fab359faa212d06a0db04a69d0b95c4e8ac5b8d35b835325095e9a1,4123455e3f16154c8cb3b9b17fd683b3d5865f8a7f2ce4e1ee2be584e9240c13,4266814f3587866c027909e53c6006aed047c9c540774aab9428ebbdbfc2fef1,348,348,0.09195402298850575,206.96875,325,32,0,275,0,0,0,0,0,0,73,275,3266.944000000012,207.99999999999991,844.7999999999971,7634.879999999994,0,0,11954.624000000005,0.002,-0.002,19.998,excluded_not_modeled,b4a6e3ec0a65ede36be8f2d56091354337b52b1a54caaa25c451e5d78faad6e2,experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b1_main_attempt_2/rfbr1-9c8361ec222f97ff3794-trace,dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b1-main,anonymous-host,production_typed_graph,XY-forward directed 4x4 subset; synthetic functional optical model; BER and silicon calibration excluded.,
rfbr1-7fcf9694c9a0fab5709b,attention_pv_s128_d64-s1-O2,attention_pv_s128_d64,1,O2,optical,2,0.04743055555555556,128,4224,,25101,0,completed,main-attempt-2,47fe42b2f79ebeaa097e55e7a29ed23ba1c11076d3b742e9e8d1ede44d216830,908557e8e8309bc83b587d9961dfc59d888bb2404ce07c0fda34a4aebf12a721,e189f05e753a34c69275aac6136efbda8b256bd811bc4494053d58bd53293127,e43e82c88998035db67739d07db6bf4261358d9037be01f3288e70b3a2a0bfb0,49da58d6f636d26ac3ee50428390c3138abdcfdfb808c515787feb37c2a68787,8aeae81f7fab359faa212d06a0db04a69d0b95c4e8ac5b8d35b835325095e9a1,7f9d1d35481e61e021c9813100e8ff4d984cd4702ba36bc303b360cf62107aa9,4266814f3587866c027909e53c6006aed047c9c540774aab9428ebbdbfc2fef1,375,375,0.08533333333333333,227.59375,347,32,0,289,0,0,0,0.5,0,0,86,289,3325.8240000000173,207.99999999999994,844.799999999997,15358.46399999996,0,0,19737.08799999992,1.017,-1.017,18.983,excluded_not_modeled,87c58f1bb3ed7aae12f89fd64e5da2ba7103d65d9cef4d811a58d9c2126e22d1,experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b1_main_attempt_2/rfbr1-7fcf9694c9a0fab5709b-trace,dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b1-main,anonymous-host,production_typed_graph,XY-forward directed 4x4 subset; synthetic functional optical model; BER and silicon calibration excluded.,
rfbr1-6f0fcd7700cf68bf85cf,attention_pv_s128_d64-s1-O2,attention_pv_s128_d64,1,O2,optical,2,0.04743055555555556,128,4224,,25101,1,completed,main-attempt-2,47fe42b2f79ebeaa097e55e7a29ed23ba1c11076d3b742e9e8d1ede44d216830,908557e8e8309bc83b587d9961dfc59d888bb2404ce07c0fda34a4aebf12a721,e189f05e753a34c69275aac6136efbda8b256bd811bc4494053d58bd53293127,e43e82c88998035db67739d07db6bf4261358d9037be01f3288e70b3a2a0bfb0,49da58d6f636d26ac3ee50428390c3138abdcfdfb808c515787feb37c2a68787,8aeae81f7fab359faa212d06a0db04a69d0b95c4e8ac5b8d35b835325095e9a1,7f9d1d35481e61e021c9813100e8ff4d984cd4702ba36bc303b360cf62107aa9,4266814f3587866c027909e53c6006aed047c9c540774aab9428ebbdbfc2fef1,375,375,0.08533333333333333,227.59375,347,32,0,289,0,0,0,0.5,0,0,86,289,3325.8240000000173,207.99999999999994,844.799999999997,15358.46399999996,0,0,19737.08799999992,1.017,-1.017,18.983,excluded_not_modeled,87c58f1bb3ed7aae12f89fd64e5da2ba7103d65d9cef4d811a58d9c2126e22d1,experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b1_main_attempt_2/rfbr1-6f0fcd7700cf68bf85cf-trace,dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b1-main,anonymous-host,production_typed_graph,XY-forward directed 4x4 subset; synthetic functional optical model; BER and silicon calibration excluded.,
rfbr1-9bccae62970b12312054,attention_pv_s128_d64-s1-O4,attention_pv_s128_d64,1,O4,optical,4,0.11816666666666667,128,4224,,25101,0,completed,main-attempt-2,47fe42b2f79ebeaa097e55e7a29ed23ba1c11076d3b742e9e8d1ede44d216830,908557e8e8309bc83b587d9961dfc59d888bb2404ce07c0fda34a4aebf12a721,e189f05e753a34c69275aac6136efbda8b256bd811bc4494053d58bd53293127,e43e82c88998035db67739d07db6bf4261358d9037be01f3288e70b3a2a0bfb0,49da58d6f636d26ac3ee50428390c3138abdcfdfb808c515787feb37c2a68787,8aeae81f7fab359faa212d06a0db04a69d0b95c4e8ac5b8d35b835325095e9a1,2b395161704f591da8b933b9b4a187afdd6f351cc8c2cbcd4d8e2a00ea4252e2,4266814f3587866c027909e53c6006aed047c9c540774aab9428ebbdbfc2fef1,511,511,0.06262230919765166,300.78125,472,32,0,406,0,0,0,0.25,0,0,105,406,3441.3920000000126,207.99999999999994,844.799999999997,15658.367999999966,0,0,20152.559999999947,1.269,-1.269,18.731,excluded_not_modeled,2915009980021cd7ec63a40e862e8048c75c932dbc29331d8a8da5ee9870043a,experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b1_main_attempt_2/rfbr1-9bccae62970b12312054-trace,dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b1-main,anonymous-host,production_typed_graph,XY-forward directed 4x4 subset; synthetic functional optical model; BER and silicon calibration excluded.,
rfbr1-7504a91ee54597380552,attention_pv_s128_d64-s1-O4,attention_pv_s128_d64,1,O4,optical,4,0.11816666666666667,128,4224,,25101,1,completed,main-attempt-2,47fe42b2f79ebeaa097e55e7a29ed23ba1c11076d3b742e9e8d1ede44d216830,908557e8e8309bc83b587d9961dfc59d888bb2404ce07c0fda34a4aebf12a721,e189f05e753a34c69275aac6136efbda8b256bd811bc4494053d58bd53293127,e43e82c88998035db67739d07db6bf4261358d9037be01f3288e70b3a2a0bfb0,49da58d6f636d26ac3ee50428390c3138abdcfdfb808c515787feb37c2a68787,8aeae81f7fab359faa212d06a0db04a69d0b95c4e8ac5b8d35b835325095e9a1,2b395161704f591da8b933b9b4a187afdd6f351cc8c2cbcd4d8e2a00ea4252e2,4266814f3587866c027909e53c6006aed047c9c540774aab9428ebbdbfc2fef1,511,511,0.06262230919765166,300.78125,472,32,0,406,0,0,0,0.25,0,0,105,406,3441.3920000000126,207.99999999999994,844.799999999997,15658.367999999966,0,0,20152.559999999947,1.269,-1.269,18.731,excluded_not_modeled,2915009980021cd7ec63a40e862e8048c75c932dbc29331d8a8da5ee9870043a,experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b1_main_attempt_2/rfbr1-7504a91ee54597380552-trace,dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b1-main,anonymous-host,production_typed_graph,XY-forward directed 4x4 subset; synthetic functional optical model; BER and silicon calibration excluded.,
rfbr1-3dea8816b767a1f2f9e0,attention_pv_s128_d64-s2-E128,attention_pv_s128_d64,2,E128,electrical,0,0,128,8192,,25102,0,completed,main-attempt-2,47fe42b2f79ebeaa097e55e7a29ed23ba1c11076d3b742e9e8d1ede44d216830,20849eb16804ce50070eea0a9bb8271c7c77ea5ed8e40a4396ecf692a1c01ea2,605d4016e285f4790884ca083a319de8c673aa43b53d5b6c55cae3f20d6aec97,e43e82c88998035db67739d07db6bf4261358d9037be01f3288e70b3a2a0bfb0,49da58d6f636d26ac3ee50428390c3138abdcfdfb808c515787feb37c2a68787,8aeae81f7fab359faa212d06a0db04a69d0b95c4e8ac5b8d35b835325095e9a1,64bca3d1061783ec55395730454d877855e2ceefb20e57498561269fa20bc4ec,9a34d071eccc635ddea3bc1ed6076cc2d628ac5025caed1c66d2992a9d8df73f,76,76,0.8421052631578947,34.796875,61,64,0,0,0,0,0,0,0,0,76,0,811.007999999999,0,0,0,0,0,811.007999999999,0,0,0,excluded_not_modeled,59705b0a59d6160c0c61b973b05aeff7fc7babd934366fe44a1c8d7796440531,experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b1_main_attempt_2/rfbr1-3dea8816b767a1f2f9e0-trace,dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b1-main,anonymous-host,production_typed_graph,XY-forward directed 4x4 subset; synthetic functional optical model; BER and silicon calibration excluded.,
