workload,route_length_mm,wavelengths,status,total_cycles,total_transport_energy_pj,path_loss_db,receiver_margin_db,completed_packets
attention_qk_s128_d64,1,1,completed,3257.0,14900.175999999932,0.2,19.8,32.0
attention_qk_s128_d64,1,4,completed,1988.0,25159.432000000084,1.4,18.6,32.0
attention_qk_s128_d64,5,1,completed,3924.0,23770.576000000063,1.0,19.0,32.0
attention_qk_s128_d64,5,4,completed,2404.0,42900.23199999966,3.0,17.0,32.0
attention_qk_s128_d64,10,1,completed,4764.0,34858.576,2.0,18.0,32.0
attention_qk_s128_d64,10,4,completed,2924.0,65076.2319999991,5.0,15.0,32.0
gemm_256_collection,1,1,failed,10000.0,4409.816000000009,0.2,19.8,0.0
gemm_256_collection,1,4,completed,2792.0,31931.752000000208,1.4,18.6,32.0
gemm_256_collection,5,1,failed,10000.0,6785.816000000003,1.0,19.0,0.0
gemm_256_collection,5,4,failed,10000.0,28302.360000000062,3.0,17.0,8.0
gemm_256_collection,10,1,failed,10000.0,9755.816000000006,2.0,18.0,0.0
gemm_256_collection,10,4,failed,10000.0,40107.43999999984,5.0,15.0,6.0
mnist_conv2_im2col,1,1,completed,1355.0,6257.095999999999,0.2,19.8,32.0
mnist_conv2_im2col,1,4,completed,833.0,10339.207999999977,1.4,18.6,32.0
mnist_conv2_im2col,5,1,completed,1624.0,9847.496000000008,1.0,19.0,32.0
mnist_conv2_im2col,5,4,completed,989.0,17520.00800000003,3.0,17.0,32.0
mnist_conv2_im2col,10,1,completed,1964.0,14335.496000000005,2.0,18.0,32.0
mnist_conv2_im2col,10,4,completed,1184.0,26496.008000000056,5.0,15.0,32.0
