config_id,family,family_label,family_position,workload,shape,M,N,K,precision,timeloop_compute_cycles,stage_matched_compute_cycles,cycle_pair_sum,timeloop_cycle_fraction,stage_cycle_fraction,timeloop_cycle_percent,stage_cycle_percent,cycle_signed_error,cycle_absolute_error,cycle_relative_error,cycle_exact_match,accelergy_shared_ert_energy_pj,stage_matched_energy_pj,energy_pair_sum_pj,accelergy_energy_fraction,stage_energy_fraction,accelergy_energy_percent,stage_energy_percent,energy_signed_error_pj,energy_absolute_error_pj,energy_relative_error,energy_exact_match,cycle_small_result_flag,energy_small_result_flag,cycle_zero_component_flag,energy_zero_component_flag,normalization_status
C01,square_gemm,Square GEMM,1,square_gemm_064,M=64;N=64;K=64,64,64,64,int16,16384,16384,32768,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,16119676.90923049,16119676.90923049,32239353.81846098,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C02,square_gemm,Square GEMM,2,square_gemm_096,M=96;N=96;K=96,96,96,96,int16,55296,55296,110592,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,54386999.22241291,54386999.2224129,108773998.44482581,0.500000000000000046,0.499999999999999954,50.000000000000005,49.999999999999995,-0.000000007450580596923828,0.000000007450580596923828,1.369919411522421400E-16,True,False,False,False,False,ok
C03,square_gemm,Square GEMM,3,square_gemm_128,M=128;N=128;K=128,128,128,128,int16,131072,131072,262144,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,128897289.59832391,128897289.59832393,257794579.19664784,0.499999999999999961,0.500000000000000039,49.999999999999996,50.000000000000004,0.000000014901161193847656,0.000000014901161193847656,1.156049226503007800E-16,True,False,False,False,False,ok
C04,square_gemm,Square GEMM,4,square_gemm_192,M=192;N=192;K=192,192,192,192,int16,442368,442368,884736,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,434960711.0093832,434960711.00938326,869921422.01876646,0.499999999999999966,0.500000000000000034,49.999999999999997,50.000000000000003,0.00000005960464477539063,0.00000005960464477539063,1.370345487919363000E-16,True,False,False,False,False,ok
C05,square_gemm,Square GEMM,5,square_gemm_256,M=256;N=256;K=256,256,256,256,int16,1048576,1048576,2097152,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,1030937814.0845113,1030937814.0845114,2061875628.1690227,0.499999999999999976,0.500000000000000024,49.999999999999998,50.000000000000002,0.00000011920928955078125,0.00000011920928955078125,1.156318915866336200E-16,True,False,False,False,False,ok
C06,square_gemm,Square GEMM,6,square_gemm_384,M=384;N=384;K=384,384,384,384,int16,3538944,3538944,7077888,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,3479144556.9953856,3479144556.9953856,6958289113.9907712,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C07,square_gemm,Square GEMM,7,square_gemm_512,M=512;N=512;K=512,512,512,512,int16,8388608,8388608,16777216,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,8246540501.86777,8246540501.867771,16493081003.735541,0.499999999999999970,0.500000000000000030,49.999999999999997,50.000000000000003,0.00000095367431640625,0.00000095367431640625,1.156453807739440500E-16,True,False,False,False,False,ok
C08,rectangular_gemm,Rectangular GEMM,1,rectangular_gemm_m064_n128_k256,M=64;N=128;K=256,64,128,256,int16,131072,131072,262144,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,132554031.46584392,132554031.46584392,265108062.93168784,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C09,rectangular_gemm,Rectangular GEMM,2,rectangular_gemm_m064_n256_k128,M=64;N=256;K=128,64,256,128,int16,131072,131072,262144,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,131355159.40184392,131355159.40184392,262710318.80368784,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C10,rectangular_gemm,Rectangular GEMM,3,rectangular_gemm_m096_n192_k064,M=96;N=192;K=64,96,192,64,int16,73728,73728,147456,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,71616844.9152172,71616844.9152172,143233689.8304344,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
