case_id,repeat,Sequence,Cycle,Phase,event_type,packet_id,flit_id,flit_index,total_flits,component_id,input_port,virtual_channel,output_port,link_id,occupancy_before,occupancy_after,Ready,Valid,Granted,serialization_bits,arrival_cycle,tail_complete,committed_visible,Delivered,buffer_released,Reason,evidence_label
noc_n01_single_128,0,0,0,0,PacketInjection,noc_n01_single_128-p0,,-1,1,source0,,-1,,,-1,-1,True,True,False,128,-1,False,False,False,False,phase=0;visible_cycle=1;exact_operand=true;requested_injection_cycle=0;packet_type=Activation;total_bits=128;request_id=,Exact STAGE trace
noc_n01_single_128,0,1,1,5,LinkTransfer,noc_n01_single_128-p0,,-1,1,source0,,-1,,source0_router,-1,-1,True,True,True,128,-1,False,True,False,False,"phase=5;arrival_cycle=2;link_latency=1;routing=xy;axis=x;direction=east;selected=source0_router;from=0,1;target=2,1",Exact STAGE trace
noc_n01_single_128,0,2,2,1,BufferOccupancy,noc_n01_single_128-p0,,-1,1,router,west,-1,,source0_router,1,1,True,True,False,128,-1,True,True,False,False,buffer=router_input;input_port=west;occupancy=1;buffer_depth=1,Exact STAGE trace
noc_n01_single_128,0,3,2,1,PacketMove,noc_n01_single_128-p0,,-1,1,router,,-1,,source0_router,-1,-1,True,True,False,128,-1,False,True,False,False,,Exact STAGE trace
noc_n01_single_128,0,4,3,3,Arbitration,noc_n01_single_128-p0,,-1,1,router,west,-1,,router_sink,-1,-1,True,True,True,128,-1,False,True,False,False,"phase=3;policy=round_robin;rr_start=north;winner_port=west;request_ports=west;rr_next=local;routing=xy;axis=x;direction=east;selected=router_sink;from=1,1;target=2,1",Exact STAGE trace
noc_n01_single_128,0,5,3,5,LinkTransfer,noc_n01_single_128-p0,,-1,1,router,west,-1,,router_sink,-1,-1,True,True,True,128,-1,False,True,False,False,"phase=5;arrival_cycle=4;link_latency=1;routing=xy;axis=x;direction=east;selected=router_sink;from=1,1;target=2,1;input_port=west",Exact STAGE trace
noc_n01_single_128,0,6,4,1,PacketMove,noc_n01_single_128-p0,,-1,1,sink,,-1,,router_sink,-1,-1,True,True,False,128,-1,True,True,True,True,,Exact STAGE trace
noc_n01_single_128,1,0,0,0,PacketInjection,noc_n01_single_128-p0,,-1,1,source0,,-1,,,-1,-1,True,True,False,128,-1,False,False,False,False,phase=0;visible_cycle=1;exact_operand=true;requested_injection_cycle=0;packet_type=Activation;total_bits=128;request_id=,Exact STAGE trace
noc_n01_single_128,1,1,1,5,LinkTransfer,noc_n01_single_128-p0,,-1,1,source0,,-1,,source0_router,-1,-1,True,True,True,128,-1,False,True,False,False,"phase=5;arrival_cycle=2;link_latency=1;routing=xy;axis=x;direction=east;selected=source0_router;from=0,1;target=2,1",Exact STAGE trace
noc_n01_single_128,1,2,2,1,BufferOccupancy,noc_n01_single_128-p0,,-1,1,router,west,-1,,source0_router,1,1,True,True,False,128,-1,True,True,False,False,buffer=router_input;input_port=west;occupancy=1;buffer_depth=1,Exact STAGE trace
noc_n01_single_128,1,3,2,1,PacketMove,noc_n01_single_128-p0,,-1,1,router,,-1,,source0_router,-1,-1,True,True,False,128,-1,False,True,False,False,,Exact STAGE trace
