case_id,repeat,Sequence,Cycle,Phase,event_type,packet_id,flit_id,flit_index,total_flits,component_id,input_port,virtual_channel,output_port,link_id,occupancy_before,occupancy_after,Ready,Valid,Granted,serialization_bits,arrival_cycle,tail_complete,committed_visible,Delivered,buffer_released,Reason,evidence_label
noc_n01_single_128,0,0,0,0,injection_requested,noc_n01_single_128-p0,,-1,1,source,input0,0,router,source_link,0,0,True,True,False,0,-1,False,False,False,False,phase0_writes_next,Independent oracle artifact
noc_n01_single_128,0,2,1,5,flit_issue,noc_n01_single_128-p0,noc_n01_single_128-p0-f0,0,1,source,input0,0,router,source_link,1,0,True,True,True,128,2,True,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n01_single_128,0,3,1,5,flit_serialization,noc_n01_single_128-p0,noc_n01_single_128-p0-f0,0,1,source_link,input0,0,router,source_link,0,0,True,True,True,128,2,True,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n01_single_128,0,1,1,9,source_visible,noc_n01_single_128-p0,,-1,1,source,input0,0,router,source_link,0,1,True,True,False,0,-1,False,True,False,False,post_commit_current_state,Independent oracle artifact
noc_n01_single_128,0,4,2,1,flit_arrival_pending,noc_n01_single_128-p0,noc_n01_single_128-p0-f0,0,1,router_assembler,input0,0,router,source_link,0,1,True,True,False,0,2,True,False,False,False,tail_completes_packet,Independent oracle artifact
noc_n01_single_128,0,5,2,1,tail_reassembly,noc_n01_single_128-p0,noc_n01_single_128-p0-f0,0,1,router_assembler,input0,0,router,source_link,0,1,True,True,False,0,2,True,False,False,False,store_and_forward_tail_complete,Independent oracle artifact
noc_n01_single_128,0,7,3,5,router_grant,noc_n01_single_128-p0,,-1,1,router,input0,0,output,router_output_link,1,0,True,True,True,0,-1,True,True,False,True,physical_input_round_robin_winner,Independent oracle artifact
noc_n01_single_128,0,8,3,5,output_flit_serialization,noc_n01_single_128-p0,noc_n01_single_128-p0-f0,0,1,router_output_link,input0,0,sink,router_output_link,0,0,True,True,True,128,4,True,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n01_single_128,0,6,3,9,router_queue_visible,noc_n01_single_128-p0,,-1,1,router,input0,0,output,router_output_link,0,1,True,True,False,0,-1,True,True,False,False,tail_complete_committed,Independent oracle artifact
noc_n01_single_128,0,9,4,1,sink_tail_delivery,noc_n01_single_128-p0,noc_n01_single_128-p0-f0,0,1,sink,input0,0,sink,router_output_link,0,1,True,True,False,0,4,True,True,True,True,tail_commits_packet_delivery,Independent oracle artifact
noc_n01_single_128,1,0,0,0,injection_requested,noc_n01_single_128-p0,,-1,1,source,input0,0,router,source_link,0,0,True,True,False,0,-1,False,False,False,False,phase0_writes_next,Independent oracle artifact
noc_n01_single_128,1,2,1,5,flit_issue,noc_n01_single_128-p0,noc_n01_single_128-p0-f0,0,1,source,input0,0,router,source_link,1,0,True,True,True,128,2,True,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n01_single_128,1,3,1,5,flit_serialization,noc_n01_single_128-p0,noc_n01_single_128-p0-f0,0,1,source_link,input0,0,router,source_link,0,0,True,True,True,128,2,True,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n01_single_128,1,1,1,9,source_visible,noc_n01_single_128-p0,,-1,1,source,input0,0,router,source_link,0,1,True,True,False,0,-1,False,True,False,False,post_commit_current_state,Independent oracle artifact
noc_n01_single_128,1,4,2,1,flit_arrival_pending,noc_n01_single_128-p0,noc_n01_single_128-p0-f0,0,1,router_assembler,input0,0,router,source_link,0,1,True,True,False,0,2,True,False,False,False,tail_completes_packet,Independent oracle artifact
noc_n01_single_128,1,5,2,1,tail_reassembly,noc_n01_single_128-p0,noc_n01_single_128-p0-f0,0,1,router_assembler,input0,0,router,source_link,0,1,True,True,False,0,2,True,False,False,False,store_and_forward_tail_complete,Independent oracle artifact
noc_n01_single_128,1,7,3,5,router_grant,noc_n01_single_128-p0,,-1,1,router,input0,0,output,router_output_link,1,0,True,True,True,0,-1,True,True,False,True,physical_input_round_robin_winner,Independent oracle artifact
noc_n01_single_128,1,8,3,5,output_flit_serialization,noc_n01_single_128-p0,noc_n01_single_128-p0-f0,0,1,router_output_link,input0,0,sink,router_output_link,0,0,True,True,True,128,4,True,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n01_single_128,1,6,3,9,router_queue_visible,noc_n01_single_128-p0,,-1,1,router,input0,0,output,router_output_link,0,1,True,True,False,0,-1,True,True,False,False,tail_complete_committed,Independent oracle artifact
noc_n01_single_128,1,9,4,1,sink_tail_delivery,noc_n01_single_128-p0,noc_n01_single_128-p0-f0,0,1,sink,input0,0,sink,router_output_link,0,1,True,True,False,0,4,True,True,True,True,tail_commits_packet_delivery,Independent oracle artifact
noc_n02_single_256_vc1,0,0,0,0,injection_requested,noc_n02_single_256_vc1-p0,,-1,2,source,input0,1,router,source_link,0,0,True,True,False,0,-1,False,False,False,False,phase0_writes_next,Independent oracle artifact
noc_n02_single_256_vc1,0,2,1,5,flit_issue,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f0,0,2,source,input0,1,router,source_link,2,1,True,True,True,128,2,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n02_single_256_vc1,0,3,1,5,flit_serialization,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f0,0,2,source_link,input0,1,router,source_link,0,0,True,True,True,128,2,False,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n02_single_256_vc1,0,1,1,9,source_visible,noc_n02_single_256_vc1-p0,,-1,2,source,input0,1,router,source_link,0,2,True,True,False,0,-1,False,True,False,False,post_commit_current_state,Independent oracle artifact
noc_n02_single_256_vc1,0,4,2,1,flit_arrival_pending,noc_n02_single_256_vc1-p0,noc_n02_single_256_vc1-p0-f0,0,2,router_assembler,input0,1,router,source_link,0,1,True,True,False,0,2,False,False,False,False,head_or_body_not_router_visible,Independent oracle artifact
