candidate_id,tool,case,traffic,injection_rate,packet_count,repeat,status,reason,process_wall_seconds,wsl_envelope_wall_seconds,peak_working_set_bytes,denominator_kind,denominator_value,target_minus_native_accepted_packets,target_exact_match,ratio_eligible,sample_period_cycles,packet_latency_average,injected_packet_rate_average,accepted_packet_rate_average,native_termination,native_return_code,raw_path
p0-booksim2-reviewer-context-0d5499b23e18fc9a,BookSim2,,uniform,0.02,1000000,1,completed,BookSim2 latency-mode native termination completed with an exact accepted-packet denominator.,16.5,17.09153909998713,6627328,native_accepted_packets_exact_pair_stats,999174,826,False,False,1041667,19.6819,0.0199835,0.0199835,converged_and_drained,255,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-booksim2-reviewer-context-0d5499b23e18fc9a.json
p0-booksim2-reviewer-context-1790f0e811da0dee,BookSim2,,hotspot,0.02,1000000,1,completed,BookSim2 latency-mode native termination completed with an exact accepted-packet denominator.,16.59,16.013068100000964,6635520,native_accepted_packets_exact_pair_stats,999174,826,False,False,1041667,19.584,0.0199835,0.0199836,converged_and_drained,255,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-booksim2-reviewer-context-1790f0e811da0dee.json
p0-booksim2-reviewer-context-17cad9f4997dc9a2,BookSim2,,hotspot,0.08,1000000,1,completed,BookSim2 latency-mode native termination completed with an exact accepted-packet denominator.,1.19,1.2656744999985676,6754304,native_accepted_packets_exact_pair_stats,130201,869799,False,False,260417,48634.6,0.0313562,0.0312482,unstable_max_samples,0,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-booksim2-reviewer-context-17cad9f4997dc9a2.json
p0-booksim2-reviewer-context-1a28847d845bc8ab,BookSim2,,uniform,0.08,1000000,1,completed,BookSim2 latency-mode native termination completed with an exact accepted-packet denominator.,9.18,9.629324599998654,6582272,native_accepted_packets_exact_pair_stats,999081,919,False,False,260417,20.4512,0.0799264,0.0799265,converged_and_drained,255,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-booksim2-reviewer-context-1a28847d845bc8ab.json
p0-booksim2-reviewer-context-2304feb6a38b73ff,BookSim2,,hotspot,0.08,100000,1,completed,BookSim2 latency-mode native termination completed with an exact accepted-packet denominator.,0.15,0.2031373999925563,6791168,native_accepted_packets_exact_pair_stats,13013,86987,False,False,26042,4836.27,0.0323108,0.0312308,unstable_max_samples,0,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-booksim2-reviewer-context-2304feb6a38b73ff.json
p0-booksim2-reviewer-context-246dba3aa07df69a,BookSim2,,uniform,0.08,100000,2,completed,BookSim2 latency-mode native termination completed with an exact accepted-packet denominator.,0.93,1.0089294000063092,6721536,native_accepted_packets_exact_pair_stats,99814,186,False,False,26042,20.4569,0.0798502,0.079855,converged_and_drained,255,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-booksim2-reviewer-context-246dba3aa07df69a.json
p0-booksim2-reviewer-context-3562f9d6893a76e4,BookSim2,,uniform,0.02,10000,1,completed,BookSim2 latency-mode native termination completed with an exact accepted-packet denominator.,0.19,0.2557494999928167,6643712,native_accepted_packets_exact_pair_stats,10219,-219,False,False,10417,19.6854,0.0204373,0.0204253,converged_and_drained,255,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-booksim2-reviewer-context-3562f9d6893a76e4.json
p0-booksim2-reviewer-context-356dd9b6ef61a8cc,BookSim2,,uniform,0.08,100000,0,completed,BookSim2 latency-mode native termination completed with an exact accepted-packet denominator.,1.07,1.1545487999974284,6516736,native_accepted_packets_exact_pair_stats,99814,186,False,False,26042,20.4569,0.0798502,0.079855,converged_and_drained,255,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-booksim2-reviewer-context-356dd9b6ef61a8cc.json
p0-booksim2-reviewer-context-3750bdbba4862b7e,BookSim2,,uniform,0.02,10000,2,completed,BookSim2 latency-mode native termination completed with an exact accepted-packet denominator.,0.17,0.2166877999989083,6541312,native_accepted_packets_exact_pair_stats,10219,-219,False,False,10417,19.6854,0.0204373,0.0204253,converged_and_drained,255,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-booksim2-reviewer-context-3750bdbba4862b7e.json
p0-booksim2-reviewer-context-38c63f2bb562b803,BookSim2,,uniform,0.02,1000000,0,completed,BookSim2 latency-mode native termination completed with an exact accepted-packet denominator.,17.78,17.63543190000928,6598656,native_accepted_packets_exact_pair_stats,999174,826,False,False,1041667,19.6819,0.0199835,0.0199835,converged_and_drained,255,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-booksim2-reviewer-context-38c63f2bb562b803.json
