candidate_id,status,reason,mesh_dimension,packet_count,seed,repeat,trace_mode,process_wall_seconds,process_startup_seconds,graph_build_seconds,graph_validation_seconds,compile_seconds,simulation_wall_seconds,simulation_core_seconds,trace_persist_seconds,trace_compression_seconds,simulated_cycles,simulated_cycles_per_second,completed_packets_per_second,events_per_second,peak_working_set_bytes,peak_managed_bytes,raw_trace_bytes,compressed_trace_bytes,requested_packets,injected_packets,completed_packets,event_count,canonical_delivery_sha256,raw_trace_sha256,topology_canonical_sha256,raw_path
p0-stage-reviewer-scaling-81e4dbdcb1b117cf,completed,Exact packet target injected and drained.,4,10000,0,0,full,0.5561146999971243,0.0427956,0.205956,0.0041657,0.053113,0.0621236,0.019653999999999998,0.0424696,0.1109623,31251,503045.54146894254,160969.42224854967,1507494.7362998924,72208384,22250040,7854214,652161,10000,10000,10000,93651,5dc9bb65cd39dd9bf41f256f6c0942de5159f111a91a9fa6b4f5e915652db2c9,bac0ed203245b0078541bf9a63c6f55e1ec0e138c1928b299aa87a3a6bbd488b,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-stage-reviewer-scaling-81e4dbdcb1b117cf.json
p0-stage-reviewer-scaling-2502ceb6c30c836a,completed,Exact packet target injected and drained.,4,10000,0,0,metrics_only,0.4289381999988109,0.0430641,0.1992674,0.004185,0.0506251,0.0164321,0.0164321,0,4e-07,31251,1901826.3033939665,608564.943007893,5699271.547763219,63598592,14493920,0,0,10000,10000,10000,93651,5dc9bb65cd39dd9bf41f256f6c0942de5159f111a91a9fa6b4f5e915652db2c9,,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-stage-reviewer-scaling-2502ceb6c30c836a.json
p0-stage-reviewer-scaling-80f0d0152c524c55,completed,Exact packet target injected and drained.,4,10000,1,0,full,0.5530857999983709,0.0443469,0.2075566,0.0044289,0.0505594,0.06527720000000001,0.019138100000000005,0.0461391,0.1095901,31253,478773.5993578155,153192.84528135395,1424019.4125973538,72105984,21800264,7794999,647638,10000,10000,10000,92956,1d188f809adfc71038c6b75861f6755cd6e111b1665db1d2f0bf53679366c593,9e301371a60ab37827d27be1a5086bdfbc6239c9439c4cdcb9a7850950c9c6fb,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-stage-reviewer-scaling-80f0d0152c524c55.json
p0-stage-reviewer-scaling-1cf7f8ccd74ad2d5,completed,Exact packet target injected and drained.,4,10000,1,0,metrics_only,0.43645439999818336,0.0544264,0.2129678,0.0043853,0.0560694,0.0196859,0.0196859,0,0,31253,1587582.9908716392,507977.7912109683,4721958.355980677,63696896,14463752,0,0,10000,10000,10000,92956,1d188f809adfc71038c6b75861f6755cd6e111b1665db1d2f0bf53679366c593,,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-stage-reviewer-scaling-1cf7f8ccd74ad2d5.json
p0-stage-reviewer-scaling-288f42d1aff4d22e,completed,Exact packet target injected and drained.,4,10000,2,0,full,0.5543558000063058,0.0411368,0.1940372,0.0042171,0.0528217,0.061842600000000005,0.018924700000000003,0.0429179,0.1082248,31254,505379.78674894,161700.83405290204,1508749.6321306024,72192000,21904248,7824927,649955,10000,10000,10000,93305,415b21a8b0764ff7505f793d83d8812f381f8daaf1790cf6f2eb622f35ea7dd6,459b6dd4cc91ee8f4e6766d91816cf9da34fa9e8b01774ea3389a2450d5d1fc8,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-stage-reviewer-scaling-288f42d1aff4d22e.json
p0-stage-reviewer-scaling-396e29c59d24a7ec,completed,Exact packet target injected and drained.,4,10000,2,0,metrics_only,0.4295057999988785,0.0456942,0.1998088,0.0041604,0.054194,0.0164127,0.0164127,0,1e-07,31254,1904257.0692207864,609284.2737636099,5684926.916351362,63606784,14452960,0,0,10000,10000,10000,93305,415b21a8b0764ff7505f793d83d8812f381f8daaf1790cf6f2eb622f35ea7dd6,,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-stage-reviewer-scaling-396e29c59d24a7ec.json
p0-stage-reviewer-scaling-8cd6a4e255ed6b43,completed,Exact packet target injected and drained.,4,10000,40,0,full,0.5590374999883352,0.0390695,0.1842554,0.0038018,0.0491329,0.0613255,0.0204957,0.0408298,0.1033462,31254,509641.17699814925,163064.30440844348,1526803.695037138,70905856,22145736,7852770,651755,10000,10000,10000,93632,71655de66478c1a9ec99509ddd6502fe9e732d4754bf10c9fcce30efc28bbfba,efcedfdbd8056f29eaa2048e0ccc5476a2c5fd7f2665bbb9cad8da6ce5998339,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-stage-reviewer-scaling-8cd6a4e255ed6b43.json
p0-stage-reviewer-scaling-ea0b959901a6d557,completed,Exact packet target injected and drained.,4,10000,40,0,metrics_only,0.3771487000049092,0.0482676,0.1783579,0.0041902,0.0506053,0.0164165,0.0164165,0,7e-07,31254,1903816.282398806,609143.2400328937,5703529.985075991,62664704,14493896,0,0,10000,10000,10000,93632,71655de66478c1a9ec99509ddd6502fe9e732d4754bf10c9fcce30efc28bbfba,,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-stage-reviewer-scaling-ea0b959901a6d557.json
p0-stage-reviewer-scaling-646ef0c3df30d357,completed,Exact packet target injected and drained.,4,10000,40,1,full,0.6401179000094999,0.1519104,0.1768231,0.0037407,0.0472648,0.058161,0.018394,0.039767,0.1078335,31254,537370.4028472689,171936.52103643335,1609876.0337683328,70983680,22145736,7852770,651755,10000,10000,10000,93632,71655de66478c1a9ec99509ddd6502fe9e732d4754bf10c9fcce30efc28bbfba,efcedfdbd8056f29eaa2048e0ccc5476a2c5fd7f2665bbb9cad8da6ce5998339,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-stage-reviewer-scaling-646ef0c3df30d357.json
p0-stage-reviewer-scaling-970ed2dc15445a09,completed,Exact packet target injected and drained.,4,10000,40,1,metrics_only,0.3718178999988595,0.0423382,0.1784171,0.0038643,0.0501074,0.0168465,0.0168465,0,2e-07,31254,1855222.1529694595,593595.1087763037,5557949.7224942865,62427136,14471976,0,0,10000,10000,10000,93632,71655de66478c1a9ec99509ddd6502fe9e732d4754bf10c9fcce30efc28bbfba,,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1,ARTIFACT_ROOT\experiments\aspdac\results\reviewer_extension_20260717\raw\p0-stage-reviewer-scaling-970ed2dc15445a09.json
