alignment_family,case_id,tool,repeat,seed,status,shared_input_hash,config_hash,native_total_cycles,native_mean_latency,native_p95_latency,native_utilization_percent,runtime_wall_seconds,evidence_level,comparison_boundary,raw_path,source_path,source_sha256,metric_definition
4x4 WS hold-out,holdout_attn_qk_s096_d064,SCALE-Sim,0,40,completed,shape_and_frozen_mapping_contract,4ee4a76eba42dedac9a19f2bc05dfa28d799098b660bf1e2e1127cd0504dd7e5,41727,,,90.56826278161314,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_attn_qk_s096_d064/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_attn_qk_s096_d064/r0/result.json,f23cb108aa25a165795271b70cfe49c1479e49179a33fc110f348561609bfe0c,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_attn_qk_s096_d064,SCALE-Sim,1,40,completed,shape_and_frozen_mapping_contract,4ee4a76eba42dedac9a19f2bc05dfa28d799098b660bf1e2e1127cd0504dd7e5,41727,,,90.56826278161314,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_attn_qk_s096_d064/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_attn_qk_s096_d064/r1/result.json,837832636cc9c3cf03b3b1334ec78c8fa80e27460fde70e5848a7e62f3811201,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_attn_qk_s096_d064,STAGE,0,40,completed,shape_and_frozen_mapping_contract,cf82757e571974eedab4c8e76574e4514e01871543e2fdb39d7fd4b02130fb79,41344,,,91.42857142857143,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_attn_qk_s096_d064/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_attn_qk_s096_d064/r0/result.json,784a3008178c8150230c5714cf4c7be3b2328f8899bf2d375bdb6237fa0a8825,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_attn_qk_s096_d064,STAGE,1,40,completed,shape_and_frozen_mapping_contract,cf82757e571974eedab4c8e76574e4514e01871543e2fdb39d7fd4b02130fb79,41344,,,91.42857142857143,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_attn_qk_s096_d064/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_attn_qk_s096_d064/r1/result.json,871094aa897785a0b4df28ed58ed61cdfe022e4e0cc3b11c1546f21c7ec6b675,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_attn_qk_s192_d064,SCALE-Sim,0,40,completed,shape_and_frozen_mapping_contract,05a638e2de54fa90c083ef7872f11423d35881528654e2dc132dcb1579ca5cca,156159,,,95.05011763947529,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_attn_qk_s192_d064/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_attn_qk_s192_d064/r0/result.json,988f3cf04207585dd453e895b6a769006d933f4321aedea8ae5588f61f188ebe,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_attn_qk_s192_d064,SCALE-Sim,1,40,completed,shape_and_frozen_mapping_contract,05a638e2de54fa90c083ef7872f11423d35881528654e2dc132dcb1579ca5cca,156159,,,95.05011763947529,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_attn_qk_s192_d064/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_attn_qk_s192_d064/r1/result.json,1976595460b6f2f2fa35d7b3c8119fd44c05f2bbdfa23bfc125163e2b094c7e3,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_attn_qk_s192_d064,STAGE,0,40,completed,shape_and_frozen_mapping_contract,f94b76dea3c99c6bc8bb5a50432e57187d8efe312204060dede7289ab4d4939b,162304,,,91.42857142857143,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_attn_qk_s192_d064/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_attn_qk_s192_d064/r0/result.json,f58b74e070deb782281c4a7c832135081340c9647e840cca0f310a7976bc8828,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_attn_qk_s192_d064,STAGE,1,40,completed,shape_and_frozen_mapping_contract,f94b76dea3c99c6bc8bb5a50432e57187d8efe312204060dede7289ab4d4939b,162304,,,91.42857142857143,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_attn_qk_s192_d064/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_attn_qk_s192_d064/r1/result.json,706910ff3b3b192e91dc05d87c4fc318d53908ec5f9028e89d27123e801e88cc,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_gemm_096,SCALE-Sim,0,40,completed,shape_and_frozen_mapping_contract,451daf1ed1c12ed20ccfebb8b088979ad4f8d59a77685cd26a053e200d7f9c5c,62079,,,90.56752108754402,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_gemm_096/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_gemm_096/r0/result.json,c17f1b9ea03e0f382ac52bf52bd93280834aeea0ad438f0756b416f96e0aae3c,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_gemm_096,SCALE-Sim,1,40,completed,shape_and_frozen_mapping_contract,451daf1ed1c12ed20ccfebb8b088979ad4f8d59a77685cd26a053e200d7f9c5c,62079,,,90.56752108754402,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_gemm_096/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_gemm_096/r1/result.json,bc8b5be0932ea6fdc7c3159e7dec9f58feb58fd3adc66bb83cc74a458ed6e52c,Independent schedulers; cross-tool timing is Trend evidence
