comparison_family,case_id,left_tool,right_tool,shared_condition,left_metric,left_value,right_metric,right_value,unit,relation,evidence_level,claim_boundary,source_path,source_sha256,metric_definition
CNN transport,conv1,BookSim2,STAGE,packet_trace_sha256=565694a7c3e374f195a2bf8e845f7f55d423ae331a11d8f6b4126b5a4123723f,network_makespan_cycles,10936,network_makespan_cycles,4510,native cycles,"same-input descriptive; compare rank and workload response, not absolute equality",Numerical descriptive,same finite trace; no cycle-exact equivalence claim,experiments/aspdac/results/external_rerun_20260717/summary/mnist_cnn_noc_cross_tool.csv,ab687d7d30d03da79c1bac7854cf80ac72561a9659b619a84266649999fa862a,same finite trace; no cycle-exact equivalence claim
CNN transport,conv2,BookSim2,STAGE,packet_trace_sha256=58ddd0650d9302d4f09f02f4745492b87a042aedc330c8c3f482177f1a53ef2c,network_makespan_cycles,9035,network_makespan_cycles,3264,native cycles,"same-input descriptive; compare rank and workload response, not absolute equality",Numerical descriptive,same finite trace; no cycle-exact equivalence claim,experiments/aspdac/results/external_rerun_20260717/summary/mnist_cnn_noc_cross_tool.csv,ab687d7d30d03da79c1bac7854cf80ac72561a9659b619a84266649999fa862a,same finite trace; no cycle-exact equivalence claim
CNN transport,fc1,BookSim2,STAGE,packet_trace_sha256=ceb882f04d373e9c8a032be13e9ab9929c1305f3037c223797334947a67b94af,network_makespan_cycles,23267,network_makespan_cycles,7782,native cycles,"same-input descriptive; compare rank and workload response, not absolute equality",Numerical descriptive,same finite trace; no cycle-exact equivalence claim,experiments/aspdac/results/external_rerun_20260717/summary/mnist_cnn_noc_cross_tool.csv,ab687d7d30d03da79c1bac7854cf80ac72561a9659b619a84266649999fa862a,same finite trace; no cycle-exact equivalence claim
CNN transport,fc2,BookSim2,STAGE,packet_trace_sha256=c98d40d44ed997d5f49c1470553e4adf923c20f1f2cedaeea412ff012cdcaefb,network_makespan_cycles,7685,network_makespan_cycles,2579,native cycles,"same-input descriptive; compare rank and workload response, not absolute equality",Numerical descriptive,same finite trace; no cycle-exact equivalence claim,experiments/aspdac/results/external_rerun_20260717/summary/mnist_cnn_noc_cross_tool.csv,ab687d7d30d03da79c1bac7854cf80ac72561a9659b619a84266649999fa862a,same finite trace; no cycle-exact equivalence claim
CNN transport,fc3,BookSim2,STAGE,packet_trace_sha256=362681f361bf9f428ff9c8b3a583939b9e03b3ef9f15975447902550628109e4,network_makespan_cycles,728,network_makespan_cycles,242,native cycles,"same-input descriptive; compare rank and workload response, not absolute equality",Numerical descriptive,same finite trace; no cycle-exact equivalence claim,experiments/aspdac/results/external_rerun_20260717/summary/mnist_cnn_noc_cross_tool.csv,ab687d7d30d03da79c1bac7854cf80ac72561a9659b619a84266649999fa862a,same finite trace; no cycle-exact equivalence claim
CNN transport,sequential_network,BookSim2,STAGE,packet_trace_sha256=7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a,network_makespan_cycles,51524,network_makespan_cycles,18537,native cycles,"same-input descriptive; compare rank and workload response, not absolute equality",Numerical descriptive,same finite trace; no cycle-exact equivalence claim,experiments/aspdac/results/external_rerun_20260717/summary/mnist_cnn_noc_cross_tool.csv,ab687d7d30d03da79c1bac7854cf80ac72561a9659b619a84266649999fa862a,same finite trace; no cycle-exact equivalence claim
4x4 WS hold-out timing,holdout_attn_qk_s096_d064/r0,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,41727,total_cycles,41344,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_attn_qk_s096_d064/r1,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,41727,total_cycles,41344,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_attn_qk_s192_d064/r0,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,156159,total_cycles,162304,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_attn_qk_s192_d064/r1,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,156159,total_cycles,162304,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_gemm_096/r0,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,62079,total_cycles,59776,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_gemm_096/r1,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,62079,total_cycles,59776,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_gemm_192/r0,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,466431,total_cycles,457216,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_gemm_192/r1,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,466431,total_cycles,457216,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_gemm_384/r0,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,3632218,total_cycles,3595264,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_gemm_384/r1,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,3632218,total_cycles,3595264,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_rect_128x256x64/r0,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,143189,total_cycles,144384,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_rect_128x256x64/r1,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,143189,total_cycles,144384,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_rect_256x64x192/r0,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,211419,total_cycles,203776,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_rect_256x64x192/r1,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,211419,total_cycles,203776,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_rect_64x384x128/r0,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,229045,total_cycles,206848,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
4x4 WS hold-out timing,holdout_rect_64x384x128/r1,SCALE-Sim,STAGE,"M,N,K, precision, 4x4 WS architecture and public mapping contract",total_cycles,229045,total_cycles,206848,native cycles,independent-scheduler trend,Trend,No cycle-exact equivalence; arbitration and prefetch definitions differ,experiments/aspdac/results/reviewer_extension_20260717/summary/holdout_scalesim_stage_timing.csv,f2f2809883df8c328d12a62a9ee7100278b29fd4ab5b951aa3791846dfc93cd1,No cycle-exact equivalence; arbitration and prefetch definitions differ
NoC independent oracle,noc_n01_single_128/r0,Independent oracle,STAGE,oracle_timeline_sha256=eb27dd9911b609414d5d4be795575d742237ca9dbd623481e29ef338b30a3cf0,event timeline,eb27dd9911b609414d5d4be795575d742237ca9dbd623481e29ef338b30a3cf0,canonical trace,39b5935d8ef3f5b80bc28ba38fcca659ea4686ea990fca041e720b311214b625,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.
NoC independent oracle,noc_n01_single_128/r1,Independent oracle,STAGE,oracle_timeline_sha256=eb27dd9911b609414d5d4be795575d742237ca9dbd623481e29ef338b30a3cf0,event timeline,eb27dd9911b609414d5d4be795575d742237ca9dbd623481e29ef338b30a3cf0,canonical trace,39b5935d8ef3f5b80bc28ba38fcca659ea4686ea990fca041e720b311214b625,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.
NoC independent oracle,noc_n02_single_256_vc1/r0,Independent oracle,STAGE,oracle_timeline_sha256=aa559a872cae7d6f7a513b86c42a3eb04e4b1c9d344f92cbc648f4e2aaa0142b,event timeline,aa559a872cae7d6f7a513b86c42a3eb04e4b1c9d344f92cbc648f4e2aaa0142b,canonical trace,775c258695f69a6bf801e0d5365ee21f77838a8c1e3a786127ae785e2505aeaf,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.
