domain,resolution_label,resolution_cycles,bin_index,cycle_start,cycle_end_exclusive,released_packets,delivered_packets,outstanding_packets_end,mean_delivery_latency,p95_delivery_latency,stall_events,buffer_occupancy_events,layer_release_counts,source_path,source_sha256,source_selector,metric_semantics,evidence_level
cnn_matched_input_booksim_runtime,auto_64_bins,806,0,0,806,806,262,544,283.8473282442748,519.0,,,conv1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 0 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,1,806,1612,806,268,1082,814.0186567164179,1055.0,,,conv1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 1 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,2,1612,2418,806,269,1619,1350.985130111524,1592.0,,,conv1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 2 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,3,2418,3224,806,269,2156,1889.014869888476,2131.0,,,conv1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 3 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,4,3224,4030,1278,455,2979,1505.0681318681318,2649.0,,,conv1:1278,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 4 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,5,4030,4836,248,591,2636,1740.2030456852792,3172.0,,,conv2:248,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 5 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,6,4836,5642,806,536,2906,2526.0485074626868,3712.0,,,conv2:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 6 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,7,5642,6448,806,356,3356,3564.244382022472,4272.0,,,conv2:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 7 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,8,6448,7254,806,267,3895,4572.9925093632955,4814.0,,,conv2:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 8 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,9,7254,8060,760,456,4199,3110.6008771929824,5335.0,,,conv2:590;fc1:170,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 9 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,10,8060,8866,806,339,4666,4598.144542772861,5885.0,,,fc1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 10 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,11,8866,9672,806,269,5203,6186.9925650557625,6429.0,,,fc1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 11 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,12,9672,10478,806,269,5740,6725.014869888476,6968.0,,,fc1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 12 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,13,10478,11284,806,267,6279,6851.685393258427,7272.0,,,fc1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 13 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,14,11284,12090,806,269,6816,6846.985130111524,7090.0,,,fc1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 14 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,15,12090,12896,806,270,7352,7386.0,7630.0,,,fc1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 15 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,16,12896,13702,806,268,7890,7923.996268656716,8165.0,,,fc1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 16 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,17,13702,14508,806,270,8426,8462.0,8705.0,,,fc1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 17 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,18,14508,15314,806,268,8964,9000.018656716418,9241.0,,,fc1:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 18 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,19,15314,16120,776,299,9441,8584.732441471571,9777.0,,,fc1:350;fc2:426,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 19 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,20,16120,16926,806,268,9979,10074.018656716418,10314.0,,,fc2:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 20 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,21,16926,17732,806,269,10516,10610.988847583643,10852.0,,,fc2:806,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 21 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,22,17732,18538,767,289,10994,10340.42214532872,11387.0,,,fc2:533;fc3:234,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 22 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,23,18538,19344,0,271,10723,11554.819188191881,11925.0,,,,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 23 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,24,19344,20150,0,269,10454,12141.171003717473,12321.0,,,,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 24 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,25,20150,20956,0,270,10184,12458.0,12701.0,,,,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 25 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,26,20956,21762,0,268,9916,12996.018656716418,13237.0,,,,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 26 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,27,21762,22568,0,269,9647,13532.985130111525,13774.0,,,,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 27 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,28,22568,23374,0,268,9379,14070.018656716418,14310.0,,,,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 28 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
cnn_matched_input_booksim_runtime,auto_64_bins,806,29,23374,24180,0,269,9110,14606.988847583643,14848.0,,,,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv;experiments/aspdac/results/external_rerun_20260717/raw/external_booksim_cnn_trace/c-2b4cf12a6ed1af66/packet_delivery.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a;b9e11d3f1585c0f822c73721cbb4b137b174a3f15183a59ceccdfab39a7789ec,release/arrival cycle bin 29 at width 806,Release is Exact shared input; delivery and latency are BookSim2 native packet runtime,Exact input; Numerical descriptive runtime
